;IC000;IC010;IC020;IC100.25;IC100.5;IC100.75;IC101;IC110.25;IC110.5;IC110.75;IC111;IC120.25;IC120.5;IC120.75;IC121;IC400.25;IC400.5;IC400.75;IC401;IC410.25;IC410.5;IC410.75;IC411;IC420.25;IC420.5;IC420.75;IC421;IC600.25;IC600.5;IC600.75;IC601;IC610.25;IC610.5;IC610.75;IC611;IC620.25;IC620.5;IC620.75;IC621;LT000;LT010;LT020;LT100.25;LT100.5;LT100.75;LT101;LT110.25;LT110.5;LT110.75;LT111;LT120.25;LT120.5;LT120.75;LT121;LT400.25;LT400.5;LT400.75;LT401;LT410.25;LT410.5;LT410.75;LT411;LT420.25;LT420.5;LT420.75;LT421;LT600.25;LT600.5;LT600.75;LT601;LT610.25;LT610.5;LT610.75;LT611;LT620.25;LT620.5;LT620.75;LT621;IN-CLOSSENESS;OUT-CLOSENESS;DEGREE;IN-DEGREE;OUT-DEGREE;BETWEENNESS
IC111;0,680893751;0,678754296;0,679926522;0,540685809;0,454051029;0,084764223;0,079629216;0,725589154;0,75704023;0,979513583;1;0,485776168;0,36715226;-0,196555779;-0,207967013;0,426893025;0,345871266;0,070904418;0,06326692;0,754089137;0,793951284;0,967031981;0,969423153;0,346597159;0,234121188;-0,216779152;-0,214753513;0,426091631;0,367804375;0,08130535;0,078238695;0,757865374;0,795066592;0,967195079;0,969453053;0,352679139;0,246033652;-0,206020783;-0,210713792;0,78550686;0,78550686;0,78550686;0,55536416;0,415574416;0,237696738;0,114601554;0,838549282;0,876931351;0,934883289;0,971392082;0,501121093;0,326258618;0,101239173;-0,047754601;0,61293755;0,465312846;0,256202492;0,108266883;0,895251465;0,928063192;0,953486056;0,965918363;0,428811096;0,268408439;0,065376741;-0,056605558;0,611545957;0,461487285;0,255640906;0,108838971;0,894879349;0,926133804;0,95321112;0,966257899;0,438878127;0,277399269;0,067835243;-0,05838746;-0,505749845;0,977988365;0,510147925;-0,538282095;0,959813771;0,367497636
IC120.25;0,514090856;0,511225028;0,510472164;0,732881467;0,60713297;0,098977392;0,095898665;0,50022876;0,494367932;0,487155288;0,485776168;1;0,613948639;0,060916514;0,053135762;0,571834497;0,463545255;0,0798241;0,068732441;0,50234084;0,496933064;0,478922682;0,477926497;0,589490181;0,462150693;0,036165505;0,03331374;0,579396522;0,478467042;0,084147314;0,084226763;0,497488936;0,495874674;0,477668501;0,476842024;0,586060294;0,479687697;0,038704843;0,036954756;0,422850024;0,422850024;0,422850024;0,319108871;0,251349171;0,161252672;0,100886621;0,439716786;0,451326085;0,469198387;0,479130675;0,302138908;0,223793949;0,120885405;0,054475496;0,33647613;0,265937963;0,165732637;0,098151796;0,454919687;0,465293453;0,471974239;0,476043441;0,268272796;0,191101108;0,094997829;0,041257913;0,335261253;0,262935056;0,164664193;0,097015537;0,45461326;0,463433251;0,47162193;0,475388493;0,268459878;0,194657875;0,099856424;0,044722154;-0,183535585;0,50084023;0,365950933;-0,192791178;0,499686568;0,255924373
IC120.5;0,407063132;0,411970174;0,415221445;0,599129954;0,752313458;0,134215628;0,12967811;0,400686359;0,393622624;0,368381242;0,36715226;0,613948639;1;0,129659014;0,122038003;0,483584728;0,57481868;0,102772014;0,088031318;0,39675447;0,394559782;0,359466169;0,358558236;0,495258841;0,596065713;0,100458698;0,095408328;0,483345558;0,588960684;0,106731014;0,105669862;0,397063943;0,38872696;0,359562008;0,358734624;0,492810823;0,60712974;0,101415268;0,098191633;0,314140725;0,314140725;0,314140725;0,257626818;0,21910515;0,158036414;0,124621478;0,328132743;0,338323214;0,353172229;0,361345619;0,244579671;0,198658897;0,129928306;0,092158225;0,271464105;0,228631925;0,157147476;0,116246134;0,34221972;0,349893124;0,353887257;0,35670029;0,228181896;0,175299956;0,104953212;0,073413185;0,271240583;0,225859081;0,157655604;0,117288518;0,342662997;0,348160808;0,354768276;0,357405065;0,224225348;0,175017417;0,108497827;0,079103206;-0,07042385;0,381258132;0,350124345;-0,075159191;0,376017571;0,244530959
IC120.75;-0,033555567;-0,034603648;-0,025593615;0,037313127;0,088535596;0,485874429;0,458536367;-0,053655474;-0,074390049;-0,193686877;-0,196555779;0,060916514;0,129659014;1;0,600412058;0,096128835;0,131084189;0,347204032;0,334484465;-0,058590936;-0,078362762;-0,20237265;-0,204413403;0,130105427;0,187236401;0,517253837;0,511120513;0,090086836;0,115155095;0,347714992;0,344082019;-0,055157024;-0,082593369;-0,202111707;-0,204541049;0,131138567;0,176647377;0,531814409;0,514702177;-0,184299978;-0,184299978;-0,184299978;-0,030624447;0,07493857;0,228901399;0,343626242;-0,186674839;-0,189481362;-0,192682603;-0,195888915;-0,022816678;0,094139154;0,266024381;0,394443054;-0,034200528;0,063399474;0,206283024;0,32004847;-0,181799536;-0,185319629;-0,196559871;-0,202540183;0,047869045;0,131416935;0,253567328;0,329395066;-0,03269746;0,06160539;0,20549121;0,317336959;-0,180376899;-0,187470863;-0,197379082;-0,204329977;0,029040367;0,120337072;0,260851891;0,353155359;0,447343195;-0,185960746;0,210955035;0,431986512;-0,21135276;0,211294487
IC121;-0,040359463;-0,041312042;-0,035979287;0,029668045;0,07760888;0,457099719;0,467409706;-0,05979482;-0,081623253;-0,202658292;-0,207967013;0,053135762;0,122038003;0,600412058;1;0,087090273;0,121875371;0,340878618;0,338526243;-0,064785311;-0,085326633;-0,214336543;-0,217365443;0,124145526;0,182184052;0,50555361;0,518532178;0,081714255;0,109432199;0,340836334;0,354673263;-0,060877808;-0,090854347;-0,214239702;-0,215920853;0,119536721;0,174609681;0,523560568;0,527949098;-0,193577415;-0,193577415;-0,193577415;-0,031296798;0,076750197;0,227031117;0,353893699;-0,196571356;-0,200940454;-0,206574604;-0,209273141;-0,022100616;0,096646362;0,267883509;0,408337225;-0,03162405;0,067841613;0,207690793;0,330236329;-0,18901519;-0,195238605;-0,208001017;-0,216288463;0,050340518;0,13164318;0,254359239;0,340077169;-0,031974843;0,063342513;0,206756576;0,328565391;-0,189175203;-0,199475168;-0,208993052;-0,217056689;0,029835917;0,118568426;0,263788599;0,365566506;0,45472522;-0,196956958;0,201016402;0,43955763;-0,223324673;0,211883152
IC400.25;0,405404626;0,406101241;0,409183625;0,622681269;0,524169056;0,160530585;0,155918473;0,452278681;0,444772685;0,426746774;0,426893025;0,571834497;0,483584728;0,096128835;0,087090273;1;0,647254912;0,082008851;0,068068617;0,483835831;0,474496291;0,419644042;0,41753332;0,736437971;0,581885889;0,03182813;0,022380689;0,789098665;0,61552618;0,083982696;0,080494833;0,488508635;0,471984705;0,41763685;0,41617212;0,723375567;0,561829784;0,034617213;0,028845719;0,318937316;0,318937316;0,318937316;0,25404205;0,203338919;0,126807426;0,073064132;0,348650929;0,367892464;0,399497745;0,417978531;0,227020424;0,162572969;0,068021009;x;0,295245685;0,23462038;0,13834618;0,068216885;0,392470874;0,404683298;0,412991385;0,415322824;0,313051262;0,198456019;0,058664062;-0,030629955;0,294438826;0,232948246;0,136628877;0,067577809;0,391955611;0,403650729;0,412088402;0,414798169;0,297759159;0,18159321;0,061467366;x;0,025063121;0,442151883;0,351326916;-0,124979134;0,417267613;0,238189937
IC400.5;0,321815301;0,321635478;0,31984746;0,495898985;0,631506717;0,194104573;0,187422366;0,362520127;0,390107477;0,346766093;0,345871266;0,463545255;0,57481868;0,131084189;0,121875371;0,647254912;1;0,143469599;0,12702633;0,390645953;0,426996911;0,344071129;0,342051951;0,589163481;0,722456081;0,085175915;0,076117048;0,642586207;0,788246071;0,130834309;0,124662748;0,391668472;0,420390391;0,341431305;0,339456449;0,592780514;0,702439878;0,087427975;0,078468473;0,241977796;0,241977796;0,241977796;0,208177302;0,183384971;0,132745578;0,103804046;0,270662786;0,291756483;0,320875586;0,338583226;0,182122733;0,143116561;0,074694298;0,038949056;0,246546384;0,216657931;0,148376486;0,103132778;0,310644938;0,328985463;0,337983086;0,339643867;0,270065851;0,197441551;0,085207543;0,016293244;0,246165299;0,216159514;0,146046554;0,101076418;0,309990998;0,328910882;0,336626489;0,338407898;0,259819378;0,184582817;0,082753777;0,029408314;0,06849875;0,356083664;0,321485797;-0,064467342;0,328253705;0,214356759
IC400.75;0,051089385;0,045930837;0,050411902;0,080733333;0,109303696;0,449100868;0,441741525;0,051132416;0,053649221;0,072447621;0,070904418;0,0798241;0,102772014;0,347204032;0,340878618;0,082008851;0,143469599;1;0,629312288;0,063865622;0,073196217;0,107144969;0,104209827;0,060559853;0,106516453;0,458156984;0,443091644;0,085521493;0,153583346;0,600971394;0,576345009;0,070578733;0,073063844;0,100195453;0,097928055;0,06624918;0,121466293;0,417592058;0,409457432;x;x;x;0,086587875;0,155093823;0,290359033;0,397643823;0,023536071;0,039325914;0,06321875;0,078174977;0,065242082;0,117851495;0,225180454;0,314259477;0,105106097;0,182877445;0,32680964;0,43486829;0,042311509;0,065458015;0,090388051;0,10024087;0,086403689;0,177767433;0,301900343;0,390781327;0,106894659;0,192211443;0,33177391;0,431450655;0,044022591;0,07206515;0,092937202;0,098334181;0,095172208;0,182727707;0,297862999;0,3727069;0,077428061;0,058816121;0,159861275;0,0847385;0,025997804;0,137995596
IC401;0,042408138;0,040404537;0,043301796;0,06729523;0,092249782;0,432169706;0,438877929;0,041671318;0,045281185;0,06270413;0,06326692;0,068732441;0,088031318;0,334484465;0,338526243;0,068068617;0,12702633;0,629312288;1;0,056272175;0,064929707;0,098948182;0,098153629;0,047756923;0,094754055;0,44301696;0,448678179;0,074661936;0,138036663;0,580321386;0,58669419;0,061951545;0,066814515;0,091490899;0,092173808;0,061276931;0,102904331;0,41188628;0,414291608;x;x;x;0,083055213;0,15951851;0,292419272;0,397463392;0,018041241;0,032973263;0,056404398;0,070658702;0,062716644;0,124072117;0,227745297;0,313678557;0,100605879;0,188892163;0,329928871;0,434681779;0,036948622;0,060461892;0,084752178;0,093663736;0,080645728;0,177936294;0,299487791;0,389778638;0,102522064;0,198648096;0,335489914;0,433962884;0,038461249;0,067401885;0,087748009;0,092951478;0,087707442;0,182849522;0,296777386;0,37156993;0,07550645;0,05180688;0,151442909;0,085441337;0,017924367;0,136968267
IC410.25;0,661234112;0,664000859;0,663370321;0,573642025;0,476853774;0,081179158;0,077912462;0,729427164;0,73402393;0,754245172;0,754089137;0,50234084;0,39675447;-0,058590936;-0,064785311;0,483835831;0,390645953;0,063865622;0,056272175;1;0,767416873;0,743036893;0,742252675;0,384506611;0,285279963;-0,077291767;-0,078191471;0,487020478;0,411164206;0,0744744;0,06952839;0,778457532;0,765318775;0,74090154;0,740697428;0,385288425;0,29580119;-0,070754603;-0,074624461;0,599273882;0,599273882;0,599273882;0,431024979;0,328492634;0,191298791;0,09799775;0,641968444;0,673254445;0,715007314;0,743543329;0,388617995;0,260685683;0,092857537;-0,016924844;0,488174192;0,373732807;0,209954717;0,093473741;0,701217906;0,721722233;0,733549753;0,739038855;0,339373343;0,215397178;0,063336879;-0,024849395;0,487178203;0,37094767;0,209369379;0,092316921;0,70117654;0,720228659;0,732576843;0,737794853;0,343751363;0,222308213;0,068159883;-0,024310383;-0,35897538;0,775068903;0,435770859;-0,386745933;0,752207648;0,3196964
