;IC000;IC010;IC020;IC100.25;IC100.5;IC100.75;IC101;IC110.25;IC110.5;IC110.75;IC111;IC120.25;IC120.5;IC120.75;IC121;IC400.25;IC400.5;IC400.75;IC401;IC410.25;IC410.5;IC410.75;IC411;IC420.25;IC420.5;IC420.75;IC421;IC600.25;IC600.5;IC600.75;IC601;IC610.25;IC610.5;IC610.75;IC611;IC620.25;IC620.5;IC620.75;IC621;LT000;LT010;LT020;LT100.25;LT100.5;LT100.75;LT101;LT110.25;LT110.5;LT110.75;LT111;LT120.25;LT120.5;LT120.75;LT121;LT400.25;LT400.5;LT400.75;LT401;LT410.25;LT410.5;LT410.75;LT411;LT420.25;LT420.5;LT420.75;LT421;LT600.25;LT600.5;LT600.75;LT601;LT610.25;LT610.5;LT610.75;LT611;LT620.25;LT620.5;LT620.75;LT621;IN-CLOSSENESS;OUT-CLOSENESS;DEGREE;IN-DEGREE;OUT-DEGREE;BETWEENNESS
IC400.25;0,461452732;0,461617742;0,468477756;0,36674897;0,184269973;0,147241351;x;0,389602608;0,242908163;0,182095158;x;0,432761788;0,369139352;0,346368845;0,218026588;1;0,915031827;0,917509949;0,916316717;0,572656102;0,716911995;0,746931542;0,775051297;0,819704016;0,880148267;0,893145455;0,901499742;0,351826129;0,4446522;0,494142171;0,789957527;x;0,120433127;0,154863939;0,557979861;0,343259323;0,398858734;0,435753407;0,691813239;0,262457607;0,262457607;0,262457607;0,322570477;0,209256123;0,068292926;x;0,334620905;0,269858969;0,122705717;0,043699832;0,415660366;0,397159953;0,344229084;0,311006528;-0,291889559;0,635888802;0,684115834;0,710135726;-0,318506545;0,642577138;0,693032277;0,719939757;0,219332415;0,791338039;0,856463524;0,866289371;0,102973247;0,293874974;0,141272805;0,103047407;x;0,281199701;0,09974614;x;0,321273552;0,425475794;0,467647441;0,652180053;x;0,108191425;0,316922389;0,620844413;0,487464237;0,486464615
IC400.5;0,495424698;0,501752694;0,50047412;0,390436289;0,203451878;0,158022705;x;0,417034775;0,258522338;0,194567564;x;0,464084704;0,390567454;0,370202507;0,237723863;0,915031827;1;0,982133591;0,982070116;0,605311574;0,77006968;0,803514454;0,843868483;0,860618917;0,940740788;0,95599065;0,966964651;0,35678341;0,452967323;0,503026818;0,826822787;0,034354903;0,119198741;0,148167333;0,606761681;0,34810908;0,407013806;0,452521359;0,722076116;0,290600327;0,290600327;0,290600327;0,341398572;0,226488216;0,088189856;x;0,360187434;0,286894945;0,133830617;0,050038657;0,450782368;0,426055966;0,368910246;0,323546532;-0,290169092;0,69983565;0,750783658;0,776737816;-0,327526039;0,705420387;0,758120374;0,78490131;0,254358021;0,853444299;0,917130863;0,930382466;0,113673154;0,282124632;0,167041524;0,12678738;x;0,262569991;0,111959506;x;0,333684493;0,429664981;0,485604161;0,676536644;x;0,064017716;0,331910204;0,648353105;0,510176705;0,51375953
IC400.75;0,509425984;0,512535525;0,512189661;0,397308498;0,204850828;0,154998123;x;0,426063609;0,263235408;0,195928543;x;0,470797964;0,40001508;0,373913458;0,234495965;0,917509949;0,982133591;1;0,989850484;0,60821365;0,775950253;0,810156576;0,849860258;0,862864416;0,942782142;0,962188024;0,973873599;0,356384085;0,446288324;0,50768518;0,829686731;0,03437231;0,119595722;0,151452345;0,611569142;0,347212802;0,401402685;0,453905995;0,726212663;0,302280331;0,302280331;0,302280331;0,342587737;0,220785806;0,082514808;x;0,365037387;0,286621636;0,13164394;0,043250463;0,45365916;0,426435059;0,365520255;0,320793236;-0,294701955;0,70204263;0,755250667;0,781945859;-0,33034138;0,707119253;0,761881092;0,789141393;0,250985232;0,855687391;0,925187575;0,937603682;0,114829901;0,28876255;0,160297294;0,134002518;x;0,267824732;0,101191429;x;0,324858305;0,427498331;0,494478759;0,682017559;x;0,05269681;0,330762868;0,656375848;0,521901252;0,52453239
IC401;0,507080044;0,511088745;0,51092353;0,394104136;0,202164867;0,156676488;x;0,422422043;0,261133643;0,192750202;x;0,472735347;0,39551662;0,368732626;0,223245121;0,916316717;0,982070116;0,989850484;1;0,610164599;0,781924659;0,813887663;0,856700587;0,865130911;0,945590881;0,964720392;0,978591074;0,339559252;0,428542997;0,487099444;0,827303852;x;0,116274152;0,144974288;0,616745058;0,33746925;0,389961987;0,438357674;0,722620259;0,302762139;0,302762139;0,302762139;0,346201895;0,224137571;0,088625934;x;0,371994893;0,293640669;0,136072251;0,047974928;0,454383925;0,427494066;0,364107421;0,315894878;-0,298994726;0,711455828;0,766752983;0,793437562;-0,338644919;0,712866444;0,767889408;0,793525088;0,237549727;0,859628833;0,928248019;0,942270885;0,118094708;0,290327739;0,175175017;0,157311578;x;0,265567878;0,10932704;x;0,316048816;0,415308591;0,479112471;0,672708837;x;0,047810536;0,323777286;0,651522162;0,517224756;0,522090897
IC410.25;0,340927317;0,341400903;0,348662793;0,24570854;0,087997925;0,087441178;x;0,286920893;0,170835131;0,141417691;x;0,296867175;0,205211163;0,175958689;0,038322637;0,572656102;0,605311574;0,60821365;0,610164599;1;0,672301536;0,690124151;0,7034895;0,476430414;0,52352537;0,534367473;0,538604715;0,121543987;0,211450546;0,2294021;0,484933237;x;0,141754719;0,181828947;0,608545782;0,12363565;0,143669116;0,168531292;0,389150219;0,166391247;0,166391247;0,166391247;0,18757565;0,122682418;0,06805543;0,035755802;0,239755339;0,199175959;0,097149371;0,058769929;0,218867508;0,196218442;0,12703914;0,084259853;-0,320906336;0,561951602;0,609936345;0,637568902;-0,32110113;0,574688256;0,62768855;0,658445694;x;0,448625151;0,49806432;0,504920106;0,044710229;0,298797892;0,172818014;0,29049766;x;0,300746378;0,167084134;0,288993668;0,088639476;0,166636928;0,213722961;0,351021345;-0,157945132;0,229660781;0,157629627;0,325925329;0,379138269;0,307928528
IC410.5;0,45293577;0,46397077;0,455795433;0,320614208;0,119032946;0,100193653;x;0,378322373;0,237155932;0,171890016;x;0,390715548;0,26410801;0,228099876;0,038071857;0,716911995;0,77006968;0,775950253;0,781924659;0,672301536;1;0,883964638;0,917211423;0,59547762;0,674531801;0,692279435;0,702912986;0,123518729;0,213941892;0,253492717;0,589856565;0,045356384;0,147676222;0,182167934;0,753628104;0,10985511;0,150812355;0,193775883;0,462727891;0,249216155;0,249216155;0,249216155;0,261768601;0,165605043;0,079120319;0,033212431;0,335301928;0,267261101;0,153591891;0,071968109;0,298382273;0,242910234;0,153492295;0,089684466;-0,345589256;0,75971093;0,814128493;0,839265541;-0,369217764;0,772193975;0,8313886;0,859612149;0,042309317;0,600770431;0,655487932;0,665017075;0,092016223;0,311844196;0,218347535;0,359657437;x;0,301971381;0,183366279;0,303685648;0,113710468;0,169362954;0,227159297;0,410360263;-0,212169068;0,207451909;0,202319739;0,408411872;0,48033245;0,390009306
IC410.75;0,475622091;0,487815609;0,474515972;0,336451991;0,13577615;0,097248283;x;0,399620192;0,246158894;0,181836158;x;0,411001833;0,282567901;0,239658885;0,051432411;0,746931542;0,803514454;0,810156576;0,813887663;0,690124151;0,883964638;1;0,945232615;0,615605438;0,704728662;0,726072699;0,736262812;0,139507763;0,217505611;0,264586263;0,611101087;0,035799718;0,14098008;0,193900252;0,774216068;0,118442233;0,158501057;0,209328812;0,483682574;0,27189274;0,27189274;0,27189274;0,276841044;0,164634243;0,0822954;0,040079674;0,351130436;0,272837225;0,149281766;0,078007947;0,321862406;0,262683109;0,168942577;0,107130769;-0,363089636;0,782354251;0,838543977;0,86596376;-0,387471245;0,794960837;0,855822533;0,886563269;0,058397344;0,631673567;0,691434189;0,700135309;0,089023827;0,313204417;0,203937084;0,358569004;x;0,303713255;0,167980476;0,294828521;0,11889843;0,176734541;0,249361914;0,439541789;-0,218398775;0,200406087;0,19541804;0,434240804;0,501662057;0,415061013
IC411;0,501302629;0,510824399;0,504006831;0,355850182;0,139031127;0,105992701;x;0,42058409;0,257282614;0,189006725;x;0,430048688;0,295522231;0,253026039;0,054937853;0,775051297;0,843868483;0,849860258;0,856700587;0,7034895;0,917211423;0,945232615;1;0,649180613;0,743853278;0,764139164;0,778793512;0,140346639;0,223182368;0,274443096;0,640167318;0,037426262;0,141997782;0,176686497;0,804237885;0,124204453;0,167145397;0,213823181;0,502717015;0,296292256;0,296292256;0,296292256;0,299116341;0,178110753;0,088938667;0,040869319;0,374334581;0,297382763;0,166223009;0,080355519;0,347554882;0,279787083;0,176390398;0,108628854;-0,357519936;0,82764962;0,886082877;0,910940826;-0,389533698;0,840186752;0,903269047;0,931352935;0,081033388;0,671390329;0,730644947;0,741117831;0,091648645;0,304415271;0,223993903;0,368255581;x;0,291905785;0,182488583;0,290807159;0,123997353;0,172810938;0,257764632;0,454067638;-0,20705618;0,148731616;0,196891856;0,449485682;0,513051679;0,428160116
IC420.25;0,412410725;0,404423133;0,414096231;0,337076495;0,178752757;0,146342452;x;0,343040737;0,213181365;0,155654989;x;0,401352891;0,370475445;0,366213077;0,273449545;0,819704016;0,860618917;0,862864416;0,865130911;0,476430414;0,59547762;0,615605438;0,649180613;1;0,858113602;0,869314981;0,876971104;0,391295381;0,455316073;0,51325383;0,766717838;x;0,088668635;0,100531598;0,434145755;0,389452186;0,433549893;0,465719402;0,698414377;0,234095177;0,234095177;0,234095177;0,298193424;0,199577423;0,067494613;x;0,300879564;0,223680276;0,110183366;x;0,398256468;0,407564888;0,386482916;0,351966035;-0,25590602;0,545253042;0,590104338;0,608526288;-0,280675292;0,543438185;0,585797267;0,60279169;0,272149515;0,785365957;0,83858908;0,849324221;0,09308316;0,221011732;0,12551621;x;x;0,199612096;0,074063106;-0,141873997;0,369044395;0,455577079;0,483534613;0,638919143;0,076529007;0,058467934;0,336140625;0,621053583;0,431428885;0,457727945
IC420.5;0,471372683;0,470354468;0,472478983;0,375042113;0,203538146;0,165562814;x;0,38769441;0,236704686;0,183454324;x;0,450847571;0,396260375;0,384945502;0,273848045;0,880148267;0,940740788;0,942782142;0,945590881;0,52352537;0,674531801;0,704728662;0,743853278;0,858113602;1;0,949327268;0,959823515;0,37237315;0,458738755;0,502823438;0,809803975;x;0,096827784;0,113105015;0,502207831;0,378850307;0,432733339;0,471015526;0,727891987;0,277034304;0,277034304;0,277034304;0,332811115;0,219264773;0,081349112;x;0,335382179;0,26096684;0,114657998;x;0,445466329;0,437258224;0,38921106;0,350947532;-0,250930514;0,641016273;0,678794433;0,695453718;-0,290219577;0,64105056;0,677811575;0,693282783;0,314387506;0,86845316;0,917221011;0,929257229;0,115518588;0,2299236;0,135003753;0,040595734;x;0,205661969;0,072389154;-0,135087334;0,379499163;0,438487856;0,479417097;0,671376945;0,048719907;x;0,342735981;0,652127178;0,472869449;0,493081555
