;IC000;IC010;IC020;IC100.25;IC100.5;IC100.75;IC101;IC110.25;IC110.5;IC110.75;IC111;IC120.25;IC120.5;IC120.75;IC121;IC400.25;IC400.5;IC400.75;IC401;IC410.25;IC410.5;IC410.75;IC411;IC420.25;IC420.5;IC420.75;IC421;IC600.25;IC600.5;IC600.75;IC601;IC610.25;IC610.5;IC610.75;IC611;IC620.25;IC620.5;IC620.75;IC621;LT000;LT010;LT020;LT100.25;LT100.5;LT100.75;LT101;LT110.25;LT110.5;LT110.75;LT111;LT120.25;LT120.5;LT120.75;LT121;LT400.25;LT400.5;LT400.75;LT401;LT410.25;LT410.5;LT410.75;LT411;LT420.25;LT420.5;LT420.75;LT421;LT600.25;LT600.5;LT600.75;LT601;LT610.25;LT610.5;LT610.75;LT611;LT620.25;LT620.5;LT620.75;LT621;IN-CLOSSENESS;OUT-CLOSENESS;DEGREE;IN-DEGREE;OUT-DEGREE;BETWEENNESS
IC420.75;0,492260377;0,494118703;0,494206457;0,391296996;0,207685117;0,169371354;x;0,403660796;0,252013066;0,187979253;x;0,461707268;0,403761256;0,390949168;0,278638561;0,893145455;0,95599065;0,962188024;0,964720392;0,534367473;0,692279435;0,726072699;0,764139164;0,869314981;0,949327268;1;0,975240931;0,374974263;0,456122842;0,511394542;0,823075031;x;0,090822927;0,119174174;0,519654337;0,383290702;0,426125895;0,476870029;0,731329913;0,30031155;0,30031155;0,30031155;0,341220532;0,216603266;0,072212312;x;0,353021332;0,272811478;0,112380789;x;0,46393769;0,44347072;0,392119232;0,353175979;-0,261274116;0,648440702;0,693017938;0,714408427;-0,304160372;0,648331935;0,692585145;0,712068504;0,31651859;0,878898207;0,936181496;0,947490158;0,119274955;0,238531835;0,120682827;0,056351039;x;0,213160846;0,055449903;-0,126383783;0,366198646;0,443568491;0,499157528;0,685493963;0,060137937;x;0,343322149;0,67425122;0,494296387;0,517621898
IC421;0,497820789;0,499739688;0,498478246;0,38991922;0,217269291;0,171613315;x;0,407360077;0,255002627;0,189644414;x;0,466580994;0,412260608;0,395512011;0,279839025;0,901499742;0,966964651;0,973873599;0,978591074;0,538604715;0,702912986;0,736262812;0,778793512;0,876971104;0,959823515;0,975240931;1;0,36903085;0,454802695;0,507430246;0,832778004;x;0,094880114;0,11455935;0,528927088;0,379104133;0,428565926;0,47020311;0,740450402;0,309635896;0,309635896;0,309635896;0,344885029;0,225591118;0,077944411;x;0,356541085;0,278275011;0,115151821;x;0,470323442;0,451735504;0,401699374;0,359553756;-0,257758145;0,666217608;0,709449675;0,728099705;-0,302156211;0,665920804;0,708475022;0,725720813;0,323859051;0,892438956;0,949608799;0,962006773;0,122893592;0,238173333;0,127558285;0,058602761;x;0,211046027;0,05812209;-0,130915456;0,368532302;0,441215964;0,499346238;0,688134419;0,071610989;x;0,349276233;0,67663415;0,496729759;0,517812649
IC600.25;0,157287413;0,159809973;0,161616933;0,174308316;0,130415283;0,115459394;x;0,155280438;0,103666943;0,091991099;x;0,182984198;0,201548463;0,235448281;0,304813432;0,351826129;0,35678341;0,356384085;0,339559252;0,121543987;0,123518729;0,139507763;0,140346639;0,391295381;0,37237315;0,374974263;0,36903085;1;0,417638218;0,400429292;0,387273229;0,038731901;0,04661781;0,048845405;0,038618259;0,367884818;0,396279213;0,387717358;0,379120634;0,075443785;0,075443785;0,075443785;0,147228251;0,119848669;0,05060949;x;0,115550369;0,096453592;0,043886636;x;0,196188811;0,236899374;0,299614655;0,333146905;x;0,100642186;0,096693255;0,107143259;x;0,10873462;0,108602443;0,12087738;0,273833643;0,350007228;0,349929613;0,349231511;0,036319922;0,065839627;x;-0,213020783;x;0,065792197;x;-0,285411419;0,315959196;0,391943167;0,388119449;0,385105551;0,341463973;x;0,282454272;0,371387871;0,18248286;0,254323202
IC600.5;0,185292507;0,178143252;0,182423282;0,180889086;0,150126155;0,114949517;x;0,160038864;0,111830319;0,099442686;x;0,208108551;0,226591883;0,241772897;0,31150784;0,4446522;0,452967323;0,446288324;0,428542997;0,211450546;0,213941892;0,217505611;0,223182368;0,455316073;0,458738755;0,456122842;0,454802695;0,417638218;1;0,476536684;0,454865194;0,03415617;0,086241198;0,071476998;0,101799495;0,375977801;0,446653379;0,441621459;0,432855275;0,072934289;0,072934289;0,072934289;0,172149698;0,150410093;0,066372175;x;0,104583501;0,118301187;0,074692225;0,034582866;0,251283939;0,285233958;0,329026711;0,348655807;-0,068513807;0,153492354;0,16937767;0,184178412;-0,072158713;0,161822179;0,181265011;0,197850174;0,264540085;0,397809098;0,417336304;0,427600278;0,071389048;0,101606071;0,051193171;-0,173545115;0,032787294;0,099055761;0,043020675;-0,241875314;0,340518479;0,418035396;0,38370648;0,421725309;0,313811929;0,044982035;0,317746703;0,411881394;0,219662061;0,275490315
IC600.75;0,209908397;0,217649107;0,234421512;0,207787801;0,146316575;0,124493491;x;0,20718412;0,129833877;0,108947378;x;0,225702562;0,259241087;0,268204726;0,305284634;0,494142171;0,503026818;0,50768518;0,487099444;0,2294021;0,253492717;0,264586263;0,274443096;0,51325383;0,502823438;0,511394542;0,507430246;0,400429292;0,476536684;1;0,503192298;0,062337551;0,072443005;0,092479304;0,167119553;0,377620322;0,428146674;0,455947019;0,494162966;0,110062966;0,110062966;0,110062966;0,172744764;0,1306717;0,03616863;x;0,151115114;0,11406798;0,041826863;x;0,259782293;0,277903354;0,311668589;0,315934595;-0,119095481;0,178503513;0,205883444;0,224582792;-0,120259577;0,186492598;0,217356491;0,237732608;0,250552136;0,425250805;0,472741056;0,480760963;0,072499234;0,156820024;x;-0,131387687;0,038660641;0,153940994;x;-0,2084653;0,331446456;0,413725712;0,446920666;0,478977644;0,277455856;0,047779402;0,30212828;0,423761129;0,24238704;0,300835103
IC601;0,399575491;0,400840987;0,400776828;0,323013353;0,200798438;0,152062962;x;0,32766334;0,205377039;0,164106193;x;0,392107723;0,355965657;0,361444324;0,275808093;0,789957527;0,826822787;0,829686731;0,827303852;0,484933237;0,589856565;0,611101087;0,640167318;0,766717838;0,809803975;0,823075031;0,832778004;0,387273229;0,454865194;0,503192298;1;x;0,101335352;0,125873681;0,497285499;0,378904336;0,419568872;0,447326632;0,711863967;0,196033189;0,196033189;0,196033189;0,304291319;0,209284317;0,075986443;x;0,29531899;0,243245741;0,110931228;0,036688628;0,383842951;0,393089;0,37219628;0,350807734;-0,244164318;0,515033918;0,573492963;0,58890888;-0,274843928;0,522902419;0,584126955;0,601093585;0,274372783;0,735824008;0,797304303;0,808334517;0,115520515;0,17300311;0,089837928;x;x;0,163779992;0,057012525;-0,114820587;0,353762422;0,414932134;0,543978347;0,705529616;0,108792318;0,104442021;0,360259018;0,60578811;0,437166293;0,466777269
IC610.25;x;0,03348631;x;x;x;x;x;0,036951651;x;x;x;x;x;x;x;x;0,034354903;0,03437231;x;x;0,045356384;0,035799718;0,037426262;x;x;x;x;0,038731901;0,03415617;0,062337551;x;1;0,042519461;0,059606618;0,061571862;x;x;x;0,034352455;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,070365375;x;0,037135729;x;0,087728166;0,037718776;0,075248943;x;0,045571947;0,035181342;x;x;x;x;x;x;x
IC610.5;0,075182778;0,07739631;0,076177528;0,065169804;x;x;x;0,072817754;0,052801913;0,053969457;0,040385061;0,075044866;0,034024315;x;x;0,120433127;0,119198741;0,119595722;0,116274152;0,141754719;0,147676222;0,14098008;0,141997782;0,088668635;0,096827784;0,090822927;0,094880114;0,04661781;0,086241198;0,072443005;0,101335352;0,042519461;1;0,066187221;0,159415198;0,040731787;0,046013266;x;0,084434476;x;x;x;0,059266736;x;x;x;0,091793751;0,06990115;0,047950298;0,041216947;0,037173641;x;x;x;-0,058019973;0,072180585;0,070860877;0,094563497;-0,043123612;0,085432174;0,088602549;0,115125338;-0,040776404;0,043719177;0,061804894;0,067585344;x;0,148561484;0,068250952;0,1229862;x;0,161428082;0,075855203;0,143645466;x;0,048905161;0,063619663;0,0645226;-0,038564385;0,087145697;0,056575132;0,067562038;0,111225705;0,075255769
IC610.75;0,125220151;0,110493826;0,129816907;0,094963191;x;x;x;0,100688788;0,072563366;0,055582428;x;0,097699807;0,06085565;0,03260821;x;0,154863939;0,148167333;0,151452345;0,144974288;0,181828947;0,182167934;0,193900252;0,176686497;0,100531598;0,113105015;0,119174174;0,11455935;0,048845405;0,071476998;0,092479304;0,125873681;0,059606618;0,066187221;1;0,196897134;x;x;0,076673051;0,098509835;x;x;x;0,04802224;0,037510019;x;x;0,052294;0,078894793;0,052455667;0,032246067;0,047224272;0,03878301;0,04421172;x;-0,058427286;0,079879081;0,09852152;0,130008861;-0,050822641;0,092781163;0,116797145;0,15098905;-0,056388092;0,06379552;0,082675284;0,090447285;0,031903259;0,164099872;0,053915982;0,155251174;0,034686848;0,178366054;0,071234248;0,189595503;x;0,077890934;0,074838586;0,089317192;x;0,086640855;0,070322615;0,079745596;0,13417247;0,104971925
IC611;0,377680465;0,382593364;0,386743429;0,25608232;0,071511406;0,05720274;x;0,32049041;0,192491024;0,139220621;x;0,309581782;0,183340993;0,153625782;x;0,557979861;0,606761681;0,611569142;0,616745058;0,608545782;0,753628104;0,774216068;0,804237885;0,434145755;0,502207831;0,519654337;0,528927088;0,038618259;0,101799495;0,167119553;0,497285499;0,061571862;0,159415198;0,196897134;1;x;0,047704316;0,092266495;0,364883715;0,207614136;0,207614136;0,207614136;0,217800565;0,127772514;0,074001349;0,045410461;0,277521175;0,225497381;0,139260836;0,079821095;0,239096872;0,173375176;0,064325983;x;-0,36188981;0,655469116;0,721818518;0,754102901;-0,373670833;0,668784074;0,739994403;0,775937773;-0,048777193;0,423371446;0,488299968;0,493872746;0,058389936;0,281819279;0,21053512;0,41482813;x;0,280386906;0,196216577;0,415223242;x;0,084342973;0,240886177;0,349173763;-0,245285275;0,231620416;0,11661935;0,293181053;0,399697245;0,314125357
IC620.25;0,161896531;0,149496399;0,15429351;0,153913877;0,140484434;0,098163251;x;0,114840127;0,095437414;0,098462239;x;0,172972645;0,192471118;0,232200284;0,323631114;0,343259323;0,34810908;0,347212802;0,33746925;0,12363565;0,10985511;0,118442233;0,124204453;0,389452186;0,378850307;0,383290702;0,379104133;0,367884818;0,375977801;0,377620322;0,378904336;x;0,040731787;x;x;1;0,371568846;0,373467152;0,357886468;0,075174973;0,075174973;0,075174973;0,152672317;0,11665488;0,041321851;x;0,110493871;0,073936572;x;x;0,216509157;0,263019247;0,311445246;0,336426488;-0,060351956;0,088073443;0,103008555;0,10713587;-0,068105008;0,086697122;0,10156534;0,103794942;0,314846554;0,351770549;0,363529022;0,366034551;0,050421371;x;x;-0,224835717;x;x;-0,044817907;-0,319797786;0,331753995;0,371526987;0,347144931;0,3744816;0,333886932;x;0,270011419;0,374409126;0,185379956;0,232619167
IC620.5;0,145881655;0,147039618;0,161259727;0,173527915;0,134207374;0,124578531;x;0,147945156;0,092361093;0,07148179;x;0,186232005;0,241760559;0,26346693;0,308264922;0,398858734;0,407013806;0,401402685;0,389961987;0,143669116;0,150812355;0,158501057;0,167145397;0,433549893;0,432733339;0,426125895;0,428565926;0,396279213;0,446653379;0,428146674;0,419568872;x;0,046013266;x;0,047704316;0,371568846;1;0,409648623;0,416689187;0,06989556;0,06989556;0,06989556;0,15642235;0,141615487;0,06049521;x;0,123770368;0,105874681;x;x;0,219136739;0,273465811;0,326131418;0,35682226;-0,059579385;0,128576675;0,146324342;0,149653113;-0,075367438;0,123816329;0,140414605;0,140796309;0,30780072;0,378509759;0,391789265;0,400116894;0,069219878;0,049042059;0,062740715;-0,187923247;x;0,04013157;0,044813845;-0,281382217;0,383095041;0,412936917;0,357199539;0,404748863;0,324508264;x;0,301621103;0,378715047;0,180995038;0,255303039
IC620.75;0,196301942;0,196897552;0,193419668;0,206516529;0,142977231;0,104115086;x;0,182920067;0,100811786;0,097579077;x;0,229307927;0,255155248;0,256000422;0,306830131;0,435753407;0,452521359;0,453905995;0,438357674;0,168531292;0,193775883;0,209328812;0,213823181;0,465719402;0,471015526;0,476870029;0,47020311;0,387717358;0,441621459;0,455947019;0,447326632;x;x;0,076673051;0,092266495;0,373467152;0,409648623;1;0,430464998;0,088113489;0,088113489;0,088113489;0,186574545;0,130676543;0,059061955;x;0,132649268;0,097436077;x;x;0,246983501;0,281019296;0,325467558;0,343669012;-0,067039284;0,149716326;0,173334409;0,185203686;-0,085777791;0,148562227;0,170687148;0,183954207;0,262578518;0,390043091;0,429878645;0,439784762;0,080288967;0,096568184;0,047396864;-0,151408488;0,039796768;0,08943688;x;-0,25595743;0,336877473;0,394164878;0,401701819;0,440940837;0,312073971;x;0,298735777;0,418552326;0,22934233;0,274020614
IC621;0,354134149;0,332947914;0,335687128;0,281825913;0,168378212;0,14099516;x;0,279045347;0,186137882;0,156460004;x;0,325828302;0,322862952;0,327109189;0,284369352;0,691813239;0,722076116;0,726212663;0,722620259;0,389150219;0,462727891;0,483682574;0,502717015;0,698414377;0,727891987;0,731329913;0,740450402;0,379120634;0,432855275;0,494162966;0,711863967;0,034352455;0,084434476;0,098509835;0,364883715;0,357886468;0,416689187;0,430464998;1;0,158836982;0,158836982;0,158836982;0,262576877;0,192470617;0,077337102;x;0,234701852;0,192405399;0,087401134;x;0,329343185;0,363453311;0,361759692;0,345381444;-0,196108761;0,410102435;0,455363476;0,473125824;-0,21956334;0,408272373;0,453382943;0,470619714;0,232708742;0,647313961;0,700987722;0,712663829;0,083209715;0,167527158;0,086052896;-0,033509422;x;0,151365617;0,043665651;-0,158677122;0,34040119;0,441424628;0,518808974;0,650179304;0,154871533;0,051305733;0,331757897;0,55221179;0,362460556;0,399417928
LT000;0,336658522;0,361491611;0,337006773;0,244922933;0,120307708;0,089886634;x;0,281701674;0,186743936;0,133237459;0,032403976;0,282070362;0,229269773;0,210842664;0,105396926;0,262457607;0,290600327;0,302280331;0,302762139;0,166391247;0,249216155;0,27189274;0,296292256;0,234095177;0,277034304;0,30031155;0,309635896;0,075443785;0,072934289;0,110062966;0,196033189;x;x;x;0,207614136;0,075174973;0,06989556;0,088113489;0,158836982;1;1;1;0,24112714;0,084495436;x;x;0,33839817;0,183295785;0,070656567;x;0,374402543;0,249081455;0,122652309;0,090915729;x;0,275534653;0,286944464;0,292043669;-0,054930439;0,276322425;0,288742719;0,294040273;0,16614145;0,286890424;0,308639723;0,301191762;0,124748064;0,111385839;0,074215302;0,12652503;0,046878612;0,083031196;x;x;0,114052213;0,105034819;0,167584517;0,182495822;0,039298938;-0,168533963;0,09854496;0,30979999;0,308862929;0,336491983
LT010;0,336658522;0,361491611;0,337006773;0,244922933;0,120307708;0,089886634;x;0,281701674;0,186743936;0,133237459;0,032403976;0,282070362;0,229269773;0,210842664;0,105396926;0,262457607;0,290600327;0,302280331;0,302762139;0,166391247;0,249216155;0,27189274;0,296292256;0,234095177;0,277034304;0,30031155;0,309635896;0,075443785;0,072934289;0,110062966;0,196033189;x;x;x;0,207614136;0,075174973;0,06989556;0,088113489;0,158836982;1;1;1;0,24112714;0,084495436;x;x;0,33839817;0,183295785;0,070656567;x;0,374402543;0,249081455;0,122652309;0,090915729;x;0,275534653;0,286944464;0,292043669;-0,054930439;0,276322425;0,288742719;0,294040273;0,16614145;0,286890424;0,308639723;0,301191762;0,124748064;0,111385839;0,074215302;0,12652503;0,046878612;0,083031196;x;x;0,114052213;0,105034819;0,167584517;0,182495822;0,039298938;-0,168533963;0,09854496;0,30979999;0,308862929;0,336491983
LT020;0,336658522;0,361491611;0,337006773;0,244922933;0,120307708;0,089886634;x;0,281701674;0,186743936;0,133237459;0,032403976;0,282070362;0,229269773;0,210842664;0,105396926;0,262457607;0,290600327;0,302280331;0,302762139;0,166391247;0,249216155;0,27189274;0,296292256;0,234095177;0,277034304;0,30031155;0,309635896;0,075443785;0,072934289;0,110062966;0,196033189;x;x;x;0,207614136;0,075174973;0,06989556;0,088113489;0,158836982;1;1;1;0,24112714;0,084495436;x;x;0,33839817;0,183295785;0,070656567;x;0,374402543;0,249081455;0,122652309;0,090915729;x;0,275534653;0,286944464;0,292043669;-0,054930439;0,276322425;0,288742719;0,294040273;0,16614145;0,286890424;0,308639723;0,301191762;0,124748064;0,111385839;0,074215302;0,12652503;0,046878612;0,083031196;x;x;0,114052213;0,105034819;0,167584517;0,182495822;0,039298938;-0,168533963;0,09854496;0,30979999;0,308862929;0,336491983
LT100.25;0,314235096;0,316063928;0,296936819;0,250876909;0,146814629;0,085087114;x;0,272197754;0,175870064;0,133719688;x;0,304444273;0,241729969;0,239838011;0,114683405;0,322570477;0,341398572;0,342587737;0,346201895;0,18757565;0,261768601;0,276841044;0,299116341;0,298193424;0,332811115;0,341220532;0,344885029;0,147228251;0,172149698;0,172744764;0,304291319;x;0,059266736;0,04802224;0,217800565;0,152672317;0,15642235;0,186574545;0,262576877;0,24112714;0,24112714;0,24112714;1;0,525074804;0,205691621;0,106201966;0,684554362;0,528550281;0,285140163;0,154119452;0,609553428;0,493309966;0,35652653;0,254142596;x;0,268624485;0,271137548;0,270567791;-0,052940205;0,270121547;0,27565548;0,274495494;0,176845572;0,316165505;0,326171165;0,331665634;0,202771903;0,094025323;0,062538416;0,041693099;0,121101947;0,085183842;0,036182614;-0,050484232;0,200018686;0,150793729;0,197628387;0,25336376;0,055754809;x;0,219519132;0,385820855;0,368536682;0,350405025
LT100.5;0,158384881;0,151008305;0,156827918;0,136001594;0,091961654;0,066677267;x;0,14248073;0,110899924;0,085555046;x;0,172072312;0,160450247;0,161807925;0,105149782;0,209256123;0,226488216;0,220785806;0,224137571;0,122682418;0,165605043;0,164634243;0,178110753;0,199577423;0,219264773;0,216603266;0,225591118;0,119848669;0,150410093;0,1306717;0,209284317;x;x;0,037510019;0,127772514;0,11665488;0,141615487;0,130676543;0,192470617;0,084495436;0,084495436;0,084495436;0,525074804;1;0,50018555;0,349282337;0,335462522;0,602714642;0,494700082;0,391369719;0,28157909;0,482144086;0,480241977;0,415729247;x;0,172263708;0,163362244;0,153825281;x;0,163157638;0,158436408;0,15058566;0,118987791;0,207335118;0,202292294;0,210575733;0,095757165;0,075938208;0,080938275;x;0,055265273;0,058145678;0,058511192;x;0,143910238;0,125767972;0,121956173;0,159777685;0,055549024;0,039349032;0,205668713;0,21578402;0,185536339;0,212878293
LT100.75;x;x;x;x;x;x;x;x;x;x;x;0,036436021;0,045129818;0,051324291;0,054629922;0,068292926;0,088189856;0,082514808;0,088625934;0,06805543;0,079120319;0,0822954;0,088938667;0,067494613;0,081349112;0,072212312;0,077944411;0,05060949;0,066372175;0,03616863;0,075986443;x;x;x;0,074001349;0,041321851;0,06049521;0,059061955;0,077337102;x;x;x;0,205691621;0,50018555;1;0,802335072;0,105838274;0,230559168;0,62281447;0,706422447;0,087718255;0,170091685;0,455652678;0,553098397;x;0,077588536;0,08639915;0,082400497;x;0,070590819;0,075740897;0,074415102;0,041714386;0,059442779;0,05549574;0,06434464;x;x;0,062394718;0,057840605;x;x;0,044151183;x;0,067393594;0,047221311;x;0,053185569;x;0,087202144;0,037635538;x;x;0,045065213
LT101;-0,044690382;-0,051169769;-0,033008156;x;x;x;x;-0,045895816;x;-0,037629961;x;x;x;x;x;x;x;x;x;0,035755802;0,033212431;0,040079674;0,040869319;x;x;x;x;x;x;x;x;x;x;x;0,045410461;x;x;x;x;x;x;x;0,106201966;0,349282337;0,802335072;1;0,045571463;0,132988792;0,466187451;0,782564738;x;0,067847171;0,304491877;0,552185153;x;0,032762713;0,038119094;0,04135107;x;x;x;x;x;x;x;x;x;x;0,059778919;0,083581843;x;x;0,045730529;0,06561749;x;x;-0,032543292;x;x;0,088642568;-0,065815406;-0,065592955;-0,086043384;x
LT110.25;0,389672613;0,40474009;0,368221131;0,298866223;0,167631205;0,091099222;x;0,325509382;0,220476428;0,157193643;x;0,338766447;0,253382618;0,2287541;0,07027293;0,334620905;0,360187434;0,365037387;0,371994893;0,239755339;0,335301928;0,351130436;0,374334581;0,300879564;0,335382179;0,353021332;0,356541085;0,115550369;0,104583501;0,151115114;0,29531899;x;0,091793751;0,052294;0,277521175;0,110493871;0,123770368;0,132649268;0,234701852;0,33839817;0,33839817;0,33839817;0,684554362;0,335462522;0,105838274;0,045571463;1;0,606316044;0,250533443;0,090421229;0,338450098;0,266158261;0,181795705;0,131822741;-0,044918039;0,324959881;0,339973754;0,341429656;-0,059834533;0,331188341;0,34925761;0,351978055;0,130986249;0,328354647;0,343448792;0,34527946;0,17914287;0,129497048;0,081628298;0,101802077;0,143841434;0,121853687;0,053854027;x;0,11166531;0,118720722;0,159959604;0,222521678;x;x;0,147473134;0,378320932;0,423599954;0,382179528
LT110.5;0,288477988;0,290596794;0,277047813;0,222037055;0,112249894;0,078625909;x;0,247464051;0,183363741;0,135972279;x;0,25675482;0,207004811;0,185297512;0,05121736;0,269858969;0,286894945;0,286621636;0,293640669;0,199175959;0,267261101;0,272837225;0,297382763;0,223680276;0,26096684;0,272811478;0,278275011;0,096453592;0,118301187;0,11406798;0,243245741;x;0,06990115;0,078894793;0,225497381;0,073936572;0,105874681;0,097436077;0,192405399;0,183295785;0,183295785;0,183295785;0,528550281;0,602714642;0,230559168;0,132988792;0,606316044;1;0,465171732;0,222740894;0,243449972;0,247500804;0,214139743;0,168686334;-0,034313461;0,252169552;0,259914108;0,2559332;-0,043599623;0,261004893;0,272249643;0,270340523;0,084669183;0,245588344;0,256459267;0,261801579;0,110509481;0,092368285;0,09252714;0,088102932;0,084997969;0,094304515;0,087947382;0,053991454;0,070916807;0,077474505;0,104445726;0,178474165;x;x;0,165751476;0,305663091;0,343801447;0,302528756
LT110.75;0,11337597;0,111117183;0,11249319;0,078124747;0,048018979;0,032404395;x;0,102501281;0,096493046;0,061610645;x;0,116401007;0,098037666;0,092702896;x;0,122705717;0,133830617;0,13164394;0,136072251;0,097149371;0,153591891;0,149281766;0,166223009;0,110183366;0,114657998;0,112380789;0,115151821;0,043886636;0,074692225;0,041826863;0,110931228;x;0,047950298;0,052455667;0,139260836;x;x;x;0,087401134;0,070656567;0,070656567;0,070656567;0,285140163;0,494700082;0,62281447;0,466187451;0,250533443;0,465171732;1;0,638789245;0,092918312;0,156488705;0,262115186;0,304488376;x;0,133062489;0,134942381;0,131447726;x;0,144349702;0,150342476;0,149450804;x;0,088508093;0,090379191;0,098258834;0,046061122;0,037865389;0,086841061;0,095545079;0,050770473;0,041636269;0,091794867;0,095238097;x;x;x;0,070786392;-0,039749599;0,08842461;0,125911345;0,110861833;0,120059377;0,134241629
LT111;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,043699832;0,050038657;0,043250463;0,047974928;0,058769929;0,071968109;0,078007947;0,080355519;x;x;x;x;x;0,034582866;x;0,036688628;x;0,041216947;0,032246067;0,079821095;x;x;x;x;x;x;x;0,154119452;0,391369719;0,706422447;0,782564738;0,090421229;0,222740894;0,638789245;1;x;0,099234742;0,296533962;0,446483009;x;0,047197791;0,045429322;0,04341176;x;0,059488644;0,062233537;0,063334011;x;x;x;x;0,037101719;x;0,081577329;0,091243418;0,052776516;x;0,09115951;0,112440322;x;x;x;x;x;0,096271138;x;x;-0,046321932;x
LT120.25;0,403736508;0,394599923;0,382854642;0,312547805;0,171184908;0,117423295;x;0,335893835;0,211445177;0,158003487;x;0,372252185;0,316886989;0,294896606;0,180700337;0,415660366;0,450782368;0,45365916;0,454383925;0,218867508;0,298382273;0,321862406;0,347554882;0,398256468;0,445466329;0,46393769;0,470323442;0,196188811;0,251283939;0,259782293;0,383842951;x;0,037173641;0,047224272;0,239096872;0,216509157;0,219136739;0,246983501;0,329343185;0,374402543;0,374402543;0,374402543;0,609553428;0,28157909;0,087718255;x;0,338450098;0,243449972;0,092918312;x;1;0,656142015;0,384474226;0,254123643;-0,045993664;0,320124707;0,32501759;0,328168164;-0,09306918;0,31862847;0,325991012;0,327819112;0,281550358;0,43689563;0,458419708;0,454179899;0,205359877;0,117052893;0,044136246;x;0,071958492;0,096495248;x;-0,132823744;0,288644234;0,244106411;0,298660716;0,345375041;0,110242126;-0,076107205;0,201267711;0,513202101;0,410701605;0,435772598
LT120.5;0,339565352;0,324711068;0,3269194;0,285234996;0,164054227;0,117273308;x;0,273260212;0,189106663;0,137318784;-0,036813111;0,338624393;0,305354417;0,304334767;0,220528911;0,397159953;0,426055966;0,426435059;0,427494066;0,196218442;0,242910234;0,262683109;0,279787083;0,407564888;0,437258224;0,44347072;0,451735504;0,236899374;0,285233958;0,277903354;0,393089;x;x;0,03878301;0,173375176;0,263019247;0,273465811;0,281019296;0,363453311;0,249081455;0,249081455;0,249081455;0,493309966;0,482144086;0,170091685;0,067847171;0,266158261;0,247500804;0,156488705;0,099234742;0,656142015;1;0,589284111;0,386299216;-0,066011048;0,272245543;0,268757728;0,265223443;-0,09364463;0,261042054;0,261042606;0,258328095;0,289942804;0,427431697;0,43503809;0,437586502;0,137355496;0,122619898;0,054241653;-0,055237122;0,049357476;0,098483647;x;-0,182918748;0,301651085;0,301756536;0,315858913;0,351738889;0,166432678;-0,037596208;0,28768927;0,517143653;0,37864773;0,405571952
LT120.75;0,203193091;0,201690563;0,200179603;0,194944993;0,144447685;0,121443268;x;0,167649756;0,111616036;0,081774889;x;0,228684295;0,255592853;0,285926317;0,280291327;0,344229084;0,368910246;0,365520255;0,364107421;0,12703914;0,153492295;0,168942577;0,176390398;0,386482916;0,38921106;0,392119232;0,401699374;0,299614655;0,329026711;0,311668589;0,37219628;x;x;0,04421172;0,064325983;0,311445246;0,326131418;0,325467558;0,361759692;0,122652309;0,122652309;0,122652309;0,35652653;0,480241977;0,455652678;0,304491877;0,181795705;0,214139743;0,262115186;0,296533962;0,384474226;0,589284111;1;0,717585449;x;0,174474695;0,176131552;0,170728828;-0,049543321;0,164741014;0,162864249;0,158644574;0,318303887;0,372343405;0,378248414;0,386811605;0,086941989;0,048474763;x;-0,141496114;0,033010731;x;x;-0,268496259;0,3406016;0,334763662;0,310223429;0,344713613;0,26252952;x;0,325065421;0,393352439;0,22946862;0,297771202
LT121;0,115706427;0,114217997;0,126512844;0,15218545;0,129505367;0,115752852;x;0,10020579;0,056756324;0,036640068;x;0,167957203;0,209323022;0,258823182;0,308896526;0,311006528;0,323546532;0,320793236;0,315894878;0,084259853;0,089684466;0,107130769;0,108628854;0,351966035;0,350947532;0,353175979;0,359553756;0,333146905;0,348655807;0,315934595;0,350807734;x;x;x;x;0,336426488;0,35682226;0,343669012;0,345381444;0,090915729;0,090915729;0,090915729;0,254142596;0,415729247;0,553098397;0,552185153;0,131822741;0,168686334;0,304488376;0,446483009;0,254123643;0,386299216;0,717585449;1;x;0,107541616;0,107933046;0,111968851;-0,036400325;0,099339383;0,095415276;0,096037481;0,332553535;0,33630324;0,335954264;0,34570174;0,080720919;x;x;-0,183944181;0,043265178;x;-0,066620144;-0,321697955;0,358804386;0,353802383;0,325242156;0,340969463;0,334430989;x;0,283198178;0,304825613;0,11889729;0,205893102
