;IC000;IC010;IC020;IC100.25;IC100.5;IC100.75;IC101;IC110.25;IC110.5;IC110.75;IC111;IC120.25;IC120.5;IC120.75;IC121;IC400.25;IC400.5;IC400.75;IC401;IC410.25;IC410.5;IC410.75;IC411;IC420.25;IC420.5;IC420.75;IC421;IC600.25;IC600.5;IC600.75;IC601;IC610.25;IC610.5;IC610.75;IC611;IC620.25;IC620.5;IC620.75;IC621;LT000;LT010;LT020;LT100.25;LT100.5;LT100.75;LT101;LT110.25;LT110.5;LT110.75;LT111;LT120.25;LT120.5;LT120.75;LT121;LT400.25;LT400.5;LT400.75;LT401;LT410.25;LT410.5;LT410.75;LT411;LT420.25;LT420.5;LT420.75;LT421;LT600.25;LT600.5;LT600.75;LT601;LT610.25;LT610.5;LT610.75;LT611;LT620.25;LT620.5;LT620.75;LT621;CLOSENESS;DEGREE;IN-DEGREE;OUT-DEGREE;BETWEENNESS
LT611;0,596733077;0,699422549;0,454468619;0,512731101;0,53677355;0,513259355;0,345303942;0,804676399;0,833389032;0,914017764;0,887615126;x;x;x;x;0,372936533;0,554460509;0,383420262;x;0,690495232;0,593035743;0,906272376;0,906272376;x;0,483100687;0,387775251;x;0,466098167;0,400165775;0,353764098;x;0,851512426;0,878331679;0,906272376;0,906272376;0,371300286;x;x;0,405380464;x;x;x;x;x;x;0,579091862;0,637977954;0,586576001;0,653214008;0,902703928;-0,416308283;-0,480781397;-0,370426561;-0,338731942;x;x;0,54776697;0,62491968;0,746903865;0,658997152;0,777523829;1;-0,34601954;-0,364300064;-0,515663517;-0,449420257;x;x;0,54776697;0,62491968;0,746903865;0,658997152;0,777523829;1;-0,34601954;-0,364300064;-0,515663517;-0,449420257;-0,444474966;0,431121214;-0,4395955;0,716098411;x
LT620.25;x;x;x;x;x;-0,361533979;x;-0,368172633;-0,345371562;x;-0,382380853;x;x;x;x;x;x;x;x;x;-0,382497071;-0,354163967;-0,354163967;x;x;x;x;x;x;x;x;-0,398391444;-0,375189721;-0,354163967;-0,354163967;x;x;x;x;x;x;x;0,586707202;x;-0,421093087;x;x;-0,371137474;-0,425564718;x;0,9575546;0,748806577;0,517922791;0,51067195;0,631312074;x;x;x;x;x;x;-0,34601954;1;0,718436193;0,5100737;0,455528644;0,631312074;x;x;x;x;x;x;-0,34601954;1;0,718436193;0,5100737;0,455528644;0,530195414;x;0,536563637;-0,39654897;x
LT620.5;-0,377120046;-0,376804091;x;x;x;-0,582789618;x;-0,472822872;-0,417210243;-0,339601825;-0,390551169;x;x;x;x;x;x;x;x;-0,385594346;-0,478343678;-0,380329872;-0,380329872;x;x;x;-0,33515037;x;x;x;x;-0,499016464;-0,464517761;-0,380329872;-0,380329872;x;x;x;x;x;x;x;0,380323855;0,366323886;x;x;x;x;-0,439484457;x;0,671292294;0,908967503;0,782031903;0,741728148;0,392720736;0,357033161;x;x;x;x;-0,348845228;-0,364300064;0,718436193;1;0,731168252;0,691540922;0,392720736;0,357033161;x;x;x;x;-0,348845228;-0,364300064;0,718436193;1;0,731168252;0,691540922;0,770410093;x;0,769473234;-0,42733564;x
LT620.75;-0,475009733;-0,521997378;-0,344524251;-0,355171007;x;-0,45982157;x;-0,595003044;-0,498441873;-0,450746711;-0,459929285;x;x;x;x;x;x;x;x;-0,540166342;-0,61455364;-0,459468005;-0,459468005;x;x;-0,419253265;-0,476043141;x;x;x;x;-0,523596553;-0,56160362;-0,459468005;-0,459468005;-0,340250913;x;x;x;x;x;x;x;x;x;x;x;-0,464731586;-0,622683181;-0,470305625;0,520291513;0,670329825;0,912167336;0,77581884;x;x;x;x;x;-0,476787474;-0,570157729;-0,515663517;0,5100737;0,731168252;1;0,85795459;x;x;x;x;x;-0,476787474;-0,570157729;-0,515663517;0,5100737;0,731168252;1;0,85795459;0,840352305;x;0,839897815;-0,579262686;x
LT621;x;x;x;x;x;-0,617799849;-0,432713629;-0,519955234;-0,428469901;-0,384839733;-0,410359162;x;x;-0,40617969;x;x;x;x;-0,442601228;-0,377835569;-0,471432458;-0,410384564;-0,410384564;x;x;-0,465256581;-0,513702815;x;x;x;x;-0,481878704;-0,506258176;-0,410384564;-0,410384564;x;x;x;x;x;x;x;x;x;x;x;x;x;-0,455080268;-0,405839118;0,470811248;0,661677229;0,773164537;0,899911388;x;x;x;x;x;-0,336175037;-0,42185839;-0,449420257;0,455528644;0,691540922;0,85795459;1;x;x;x;x;x;-0,336175037;-0,42185839;-0,449420257;0,455528644;0,691540922;0,85795459;1;0,820844693;x;0,817235263;-0,413421;0,415054859
CLOSENNESS;x;-0,433527298;x;x;x;-0,533838258;-0,477512449;-0,533722631;-0,504089901;-0,380913436;-0,386900865;x;x;-0,452299098;-0,397333632;x;x;x;-0,411198409;-0,484169192;-0,59193051;-0,425400691;-0,425400691;x;x;-0,524890593;-0,542692436;x;x;x;x;-0,498355681;-0,519191518;-0,425400691;-0,425400691;x;x;x;x;x;x;x;x;x;x;x;x;-0,390204324;-0,512482403;-0,413099027;0,505872245;0,72260993;0,885746386;0,86342176;x;x;x;x;x;-0,43962356;-0,524890175;-0,444474966;0,530195414;0,770410093;0,840352305;0,820844693;x;x;x;x;x;-0,43962356;-0,524890175;-0,444474966;0,530195414;0,770410093;0,840352305;0,820844693;1;x;0,999312977;-0,461794453;0,47031968
DEGREE;0,485045715;0,484420314;0,419398662;0,383252415;0,505488433;x;x;0,422042828;0,556899922;0,36674245;0,372511283;0,412912614;0,532615733;x;x;x;0,643951316;x;x;0,356834018;x;0,33687578;0,33687578;0,407795889;0,494557424;x;x;x;0,506226851;x;x;0,420227128;0,485410158;0,33687578;0,33687578;x;0,367886174;x;0,41728187;x;x;x;x;x;0,69590204;0,676525668;0,491810896;0,445786585;0,44427709;0,535498834;x;x;x;x;x;x;0,438865359;0,386906236;0,528962768;0,455066098;x;0,431121214;x;x;x;x;x;x;0,438865359;0,386906236;0,528962768;0,455066098;x;0,431121214;x;x;x;x;x;1;x;0,543934928;x
IN-DEGREE;x;-0,427009781;x;x;x;-0,531858907;-0,477071193;-0,52611932;-0,496293549;-0,373595285;-0,380018352;x;x;-0,451419139;-0,396673244;x;x;x;-0,412079548;-0,479710912;-0,588134653;-0,418968668;-0,418968668;x;x;-0,526648284;-0,544233342;x;x;x;x;-0,490586216;-0,512520963;-0,418968668;-0,418968668;x;x;x;x;x;x;x;x;x;x;x;x;-0,390204324;-0,509589956;-0,409101294;0,506607169;0,715348696;0,888929252;0,865679662;x;x;x;x;x;-0,43962356;-0,521335614;-0,4395955;0,536563637;0,769473234;0,839897815;0,817235263;x;x;x;x;x;-0,43962356;-0,521335614;-0,4395955;0,536563637;0,769473234;0,839897815;0,817235263;0,999312977;x;1;-0,455577989;0,480610305
OUT-DEGREE;0,832877154;0,894692589;0,753942753;0,374161774;0,669912687;x;x;0,732133584;0,800753022;0,661459515;0,657770125;0,358345669;0,539953939;x;0,335550708;0,398516371;0,470683658;x;x;0,8083195;0,719544124;0,626792173;0,626792173;0,515911013;0,715561708;0,353586883;x;0,465853026;0,394231904;x;x;0,693256822;0,751384056;0,626792173;0,626792173;0,545954789;0,442784594;x;0,37858818;x;x;x;x;x;0,601648017;0,390459009;0,70598551;0,807351724;0,899987714;0,813177401;-0,457733868;-0,533644499;-0,455655236;x;x;x;0,440280486;x;0,739202239;0,799002722;0,735659569;0,716098411;-0,39654897;-0,42733564;-0,579262686;-0,413421;x;x;0,440280486;x;0,739202239;0,799002722;0,735659569;0,716098411;-0,39654897;-0,42733564;-0,579262686;-0,413421;-0,461794453;0,543934928;-0,455577989;1;x
BETWEENNESS;x;x;x;x;x;-0,363552288;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;-0,40094916;-0,455017133;x;x;x;-0,426621758;x;x;x;x;x;x;x;x;x;x;x;0,40952998;x;x;x;0,353113157;x;x;x;x;x;0,412046617;0,550047312;x;x;x;x;x;x;x;x;x;x;x;0,415054859;x;x;x;x;x;x;x;x;x;x;x;0,415054859;0,47031968;x;0,480610305;x;1
