;IC000;IC010;IC020;IC100.25;IC100.5;IC100.75;IC101;IC110.25;IC110.5;IC110.75;IC111;IC120.25;IC120.5;IC120.75;IC121;IC400.25;IC400.5;IC400.75;IC401;IC410.25;IC410.5;IC410.75;IC411;IC420.25;IC420.5;IC420.75;IC421;IC600.25;IC600.5;IC600.75;IC601;IC610.25;IC610.5;IC610.75;IC611;IC620.25;IC620.5;IC620.75;IC621;LT000;LT010;LT020;LT100.25;LT100.5;LT100.75;LT101;LT110.25;LT110.5;LT110.75;LT111;LT120.25;LT120.5;LT120.75;LT121;LT400.25;LT400.5;LT400.75;LT401;LT410.25;LT410.5;LT410.75;LT411;LT420.25;LT420.5;LT420.75;LT421;LT600.25;LT600.5;LT600.75;LT601;LT610.25;LT610.5;LT610.75;LT611;LT620.25;LT620.5;LT620.75;LT621;CLOSENESS;DEGREE;IN-DEGREE;OUT-DEGREE;BETWEENNESS
IC000;1;0,828467015;0,862991888;x;0,530060328;x;x;0,774272542;0,673082906;0,531228629;0,513511442;0,586248771;0,556315778;x;0,459122408;0,36505558;0,357746313;x;x;0,637647799;0,704579671;0,481121058;0,481121058;0,459501716;0,569885146;0,409910982;0,377606825;0,394480626;x;x;x;0,551399901;0,620829758;0,481121058;0,481121058;0,579557905;0,352800585;x;x;x;x;x;x;x;0,723256992;x;0,514958116;0,748799465;0,905506358;0,643050963;-0,378251383;-0,479449061;-0,400007702;x;x;x;0,545301065;x;0,584475333;0,747791474;0,738435192;0,596733077;x;-0,377120046;-0,475009733;x;x;x;0,545301065;x;0,584475333;0,747791474;0,738435192;0,596733077;x;-0,377120046;-0,475009733;x;x;0,485045715;x;0,832877154;x
IC010;0,828467015;1;0,739003747;0,400060764;0,67258262;x;x;0,745217706;0,734800238;0,633089904;0,579781714;0,425683003;0,565698607;x;0,421688927;0,358433146;0,459561252;x;x;0,752978298;0,720196358;0,590010806;0,590010806;0,474964337;0,655360472;0,386029771;0,353063662;0,413825311;0,365491184;x;x;0,656962629;0,685470848;0,590010806;0,590010806;0,504646638;0,400330276;x;0,398188376;x;x;x;x;x;0,587825385;0,422779333;0,586499566;0,703846864;0,832865881;0,745420954;x;-0,477210915;-0,438788726;x;x;x;0,557937283;x;0,693125884;0,760955953;0,777030287;0,699422549;x;-0,376804091;-0,521997378;x;x;x;0,557937283;x;0,693125884;0,760955953;0,777030287;0,699422549;x;-0,376804091;-0,521997378;x;-0,433527298;0,484420314;-0,427009781;0,894692589;x
IC020;0,862991888;0,739003747;1;x;0,647304965;x;x;0,644373362;0,581056552;0,439491827;0,424773053;0,603865921;0,447691946;x;0,451714288;x;0,336484531;x;x;0,661443549;0,70115451;0,391580624;0,391580624;0,418009925;0,648733176;0,383246229;x;0,366188096;x;x;x;0,416182577;0,450677165;0,391580624;0,391580624;0,585340308;0,352208864;x;x;x;x;x;x;x;0,714839331;x;0,63588861;0,825062524;0,877617729;0,593174242;-0,337322428;-0,34472237;x;x;x;0,365606669;0,578636588;x;0,683672112;0,831029368;0,737946218;0,454468619;x;x;-0,344524251;x;x;0,365606669;0,578636588;x;0,683672112;0,831029368;0,737946218;0,454468619;x;x;-0,344524251;x;x;0,419398662;x;0,753942753;x
IC100.25;x;0,400060764;x;1;0,415578867;x;x;0,432239369;0,496256504;0,438720775;0,386249859;x;0,482167975;x;x;0,682732954;0,473203122;x;x;0,414655217;0,340043686;0,435373915;0,435373915;0,424453993;0,382473243;x;0,355964499;0,431450487;0,435868769;x;x;0,474282613;0,562944751;0,435373915;0,435373915;0,401127555;0,59388007;x;0,365428221;x;x;x;x;x;x;x;x;x;x;0,435327242;x;x;x;x;x;0,353290101;x;x;0,379691341;0,375114475;x;0,512731101;x;x;-0,355171007;x;x;0,353290101;x;x;0,379691341;0,375114475;x;0,512731101;x;x;-0,355171007;x;x;0,383252415;x;0,374161774;x
IC100.5;0,530060328;0,67258262;0,647304965;0,415578867;1;x;x;0,4718089;0,530873402;0,479689132;0,458222558;0,520701296;0,552512391;x;x;0,53938636;0,5497773;x;x;0,679488443;0,495381899;0,452993883;0,452993883;0,555414091;0,823031818;x;x;0,498619229;0,615906941;x;x;0,41890252;0,470474792;0,452993883;0,452993883;0,535062205;0,6372058;x;x;x;x;x;x;0,408488326;0,568743821;0,509296786;0,664273438;0,649371204;0,594240785;0,595311527;x;x;x;x;x;0,503877092;0,58046978;x;0,735459846;0,698224524;0,606462492;0,53677355;x;x;x;x;x;0,503877092;0,58046978;x;0,735459846;0,698224524;0,606462492;0,53677355;x;x;x;x;x;0,505488433;x;0,669912687;x
IC100.75;x;x;x;x;x;1;0,532738053;0,349701488;0,367730486;0,410392518;0,445048664;x;x;x;x;x;x;0,51817162;0,690502283;x;x;0,456104316;0,456104316;x;x;0,401322462;0,393348062;x;x;0,521206692;0,571308232;0,447258773;0,435186285;0,456104316;0,456104316;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,359963293;x;-0,485809271;-0,467234099;-0,605773133;x;x;x;0,518745848;x;x;x;0,513259355;-0,361533979;-0,582789618;-0,45982157;-0,617799849;x;x;x;0,518745848;x;x;x;0,513259355;-0,361533979;-0,582789618;-0,45982157;-0,617799849;-0,533838258;x;-0,531858907;x;-0,363552288
IC101;x;x;x;x;x;0,532738053;1;x;x;0,435057706;0,465074033;x;x;0,59371496;0,373604802;x;x;0,673499342;0,858447559;x;x;0,50064798;0,50064798;x;x;0,3386045;x;x;x;0,719807707;0,460750425;x;x;0,50064798;0,50064798;x;x;0,54848234;x;0,380039456;0,380039456;0,380039456;x;x;x;x;0,387922453;x;x;0,361465765;x;x;x;-0,412288573;x;x;x;x;x;x;x;0,345303942;x;x;x;-0,432713629;x;x;x;x;x;x;x;0,345303942;x;x;x;-0,432713629;-0,477512449;x;-0,477071193;x;x
IC110.25;0,774272542;0,745217706;0,644373362;0,432239369;0,4718089;0,349701488;x;1;0,839768618;0,741616873;0,712621585;0,393444071;x;x;0,492395311;x;0,456059155;x;x;0,72159706;0,781889129;0,717321434;0,717321434;x;0,422032652;0,604170035;0,528651427;0,420821805;x;x;x;0,783330523;0,818859733;0,717321434;0,717321434;0,50765744;x;x;x;x;x;x;x;x;0,512884343;0,380527789;0,504092494;0,671567563;0,808237501;0,756469802;-0,423416672;-0,562217717;-0,479162531;-0,449127892;x;x;0,593909812;0,344457396;0,594145871;0,721760695;0,831097609;0,804676399;-0,368172633;-0,472822872;-0,595003044;-0,519955234;x;x;0,593909812;0,344457396;0,594145871;0,721760695;0,831097609;0,804676399;-0,368172633;-0,472822872;-0,595003044;-0,519955234;-0,533722631;0,422042828;-0,52611932;0,732133584;x
IC110.5;0,673082906;0,734800238;0,581056552;0,496256504;0,530873402;0,367730486;x;0,839768618;1;0,754033952;0,726681208;x;0,436141415;x;0,444221868;0,401052599;0,609687583;x;x;0,809410446;0,699126009;0,745800125;0,745800125;x;0,510312718;0,467955042;0,430661111;0,447651954;0,421465953;x;x;0,847925026;0,911976105;0,745800125;0,745800125;0,347507969;x;x;0,490996825;x;x;x;x;x;0,47242604;0,459962843;0,637837676;0,672923782;0,749675871;0,78620635;-0,405082239;-0,527060485;-0,402397954;-0,382876776;x;x;0,453983525;0,410277541;0,743698161;0,733726067;0,696321712;0,833389032;-0,345371562;-0,417210243;-0,498441873;-0,428469901;x;x;0,453983525;0,410277541;0,743698161;0,733726067;0,696321712;0,833389032;-0,345371562;-0,417210243;-0,498441873;-0,428469901;-0,504089901;0,556899922;-0,496293549;0,800753022;x
IC110.75;0,531228629;0,633089904;0,439491827;0,438720775;0,479689132;0,410392518;0,435057706;0,741616873;0,754033952;1;0,972194992;x;x;x;x;x;0,498508287;0,477537741;0,430257051;0,592395343;0,599437474;0,982817879;0,982817879;x;0,406576398;x;x;0,551288903;0,430257051;0,44429426;0,35130224;0,848309398;0,821792893;0,982817879;0,982817879;x;x;x;x;x;x;x;x;x;x;0,507690521;0,722492599;0,614084736;0,590207185;0,820059715;-0,387702748;-0,45704741;x;x;x;x;0,465221646;0,541832178;0,725843198;0,634272282;0,695017252;0,914017764;x;-0,339601825;-0,450746711;-0,384839733;x;x;0,465221646;0,541832178;0,725843198;0,634272282;0,695017252;0,914017764;x;-0,339601825;-0,450746711;-0,384839733;-0,380913436;0,36674245;-0,373595285;0,661459515;x
IC111;0,513511442;0,579781714;0,424773053;0,386249859;0,458222558;0,445048664;0,465074033;0,712621585;0,726681208;0,972194992;1;x;x;x;x;x;0,483454975;0,487613195;0,457659247;0,580540669;0,586487629;0,976132946;0,976132946;x;0,377734633;x;x;0,517265858;0,397221745;0,458410263;0,351491783;0,826614069;0,803119402;0,976132946;0,976132946;x;x;x;x;x;x;x;x;x;x;0,509340786;0,741341811;0,603107681;0,563130444;0,819493342;-0,443879937;-0,50003625;x;x;x;x;0,438567888;0,544516915;0,716941657;0,606620493;0,663148965;0,887615126;-0,382380853;-0,390551169;-0,459929285;-0,410359162;x;x;0,438567888;0,544516915;0,716941657;0,606620493;0,663148965;0,887615126;-0,382380853;-0,390551169;-0,459929285;-0,410359162;-0,386900865;0,372511283;-0,380018352;0,657770125;x
IC120.25;0,586248771;0,425683003;0,603865921;x;0,520701296;x;x;0,393444071;x;x;x;1;0,655134244;x;x;0,456504743;0,339603932;x;x;0,336787405;0,483804073;x;x;0,417666075;0,44568178;x;x;0,43923402;0,534742461;x;-0,352334707;x;x;x;x;0,498341233;0,454207038;x;x;x;x;x;x;0,393089535;0,710658406;0,336498203;x;0,484564424;0,488030479;x;x;x;x;x;x;0,386275715;0,577493824;x;x;0,47362459;0,398577936;x;x;x;x;x;x;0,386275715;0,577493824;x;x;0,47362459;0,398577936;x;x;x;x;x;x;0,412912614;x;0,358345669;x
IC120.5;0,556315778;0,565698607;0,447691946;0,482167975;0,552512391;x;x;x;0,436141415;x;x;0,655134244;1;x;x;0,699080874;0,454822809;x;x;0,448834951;0,39074272;x;x;0,517388022;0,556561315;x;x;0,421205553;0,59959024;x;x;x;0,342503887;x;x;0,497847086;0,600764007;x;x;x;x;x;x;0,334913661;0,530826948;0,420773764;x;0,393764384;0,483844173;0,350593453;x;x;x;x;x;0,372115909;0,377560765;x;0,413876518;0,43745752;0,372728447;x;x;x;x;x;x;0,372115909;0,377560765;x;0,413876518;0,43745752;0,372728447;x;x;x;x;x;x;0,532615733;x;0,539953939;x
IC120.75;x;x;x;x;x;x;0,59371496;x;x;x;x;x;x;1;0,577007235;x;x;0,478864314;0,42456129;x;x;x;x;x;x;0,517940474;0,572637036;x;x;0,543306002;x;x;x;x;x;x;x;0,663730575;0,623742519;x;x;x;x;x;x;x;x;x;x;x;x;x;x;-0,395985464;x;x;x;x;x;x;x;x;x;x;x;-0,40617969;x;x;x;x;x;x;x;x;x;x;x;-0,40617969;-0,452299098;x;-0,451419139;x;x
IC121;0,459122408;0,421688927;0,451714288;x;x;x;0,373604802;0,492395311;0,444221868;x;x;x;x;0,577007235;1;x;x;x;x;x;0,457875999;x;x;x;x;0,627456255;0,641486811;x;x;x;x;x;0,357715561;x;x;x;x;0,619729259;0,50197227;x;x;x;x;x;x;x;x;0,431531395;0,483346709;0,353959779;x;x;x;x;x;x;x;x;0,339674617;0,478784353;0,407377128;x;x;x;x;x;x;x;x;x;0,339674617;0,478784353;0,407377128;x;x;x;x;x;-0,397333632;x;-0,396673244;0,335550708;x
IC400.25;0,36505558;0,358433146;x;0,682732954;0,53938636;x;x;x;0,401052599;x;x;0,456504743;0,699080874;x;x;1;0,424981424;x;x;0,448168247;0,388477816;x;x;0,54192969;0,469608387;x;x;0,656429852;0,61427059;x;x;0,375962664;0,463439156;x;x;0,603486535;0,715264306;x;x;x;x;x;x;0,392017027;x;x;x;0,364484497;0,344575864;x;x;x;x;x;x;0,408369597;x;x;0,355113651;0,378296601;x;0,372936533;x;x;x;x;x;0,408369597;x;x;0,355113651;0,378296601;x;0,372936533;x;x;x;x;x;x;x;0,398516371;x
IC400.5;0,357746313;0,459561252;0,336484531;0,473203122;0,5497773;x;x;0,456059155;0,609687583;0,498508287;0,483454975;0,339603932;0,454822809;x;x;0,424981424;1;x;x;0,544151144;0,459023171;0,537639236;0,537639236;0,372429503;0,651318664;x;x;0,520919102;0,615604015;x;x;0,582616638;0,64531804;0,537639236;0,537639236;0,361124976;x;x;0,401063679;x;x;x;x;x;0,422954878;0,584668072;0,526720772;0,457583243;0,392761603;0,528593958;x;x;x;x;x;x;0,434785698;0,449948833;0,60745547;0,515178147;0,392168627;0,554460509;x;x;x;x;x;x;0,434785698;0,449948833;0,60745547;0,515178147;0,392168627;0,554460509;x;x;x;x;x;0,643951316;x;0,470683658;x
IC400.75;x;x;x;x;x;0,51817162;0,673499342;x;x;0,477537741;0,487613195;x;x;0,478864314;x;x;x;1;0,82031805;x;x;0,508575228;0,508575228;x;x;x;x;x;x;0,967597946;0,70731393;0,374792646;x;0,508575228;0,508575228;x;x;0,524913677;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,465031095;x;x;x;0,383420262;x;x;x;x;x;x;x;0,465031095;x;x;x;0,383420262;x;x;x;x;x;x;x;x;x
IC401;x;x;x;x;x;0,690502283;0,858447559;x;x;0,430257051;0,457659247;x;x;0,42456129;x;x;x;0,82031805;1;x;x;0,4802416;0,4802416;x;x;x;x;x;x;0,840684406;0,641646686;0,334671809;x;0,4802416;0,4802416;x;x;0,505080687;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;-0,44987286;x;x;x;0,335850989;x;x;x;x;x;x;x;-0,442601228;x;x;x;0,335850989;x;x;x;x;x;x;x;-0,442601228;-0,411198409;x;-0,412079548;x;x
IC410.25;0,637647799;0,752978298;0,661443549;0,414655217;0,679488443;x;x;0,72159706;0,809410446;0,592395343;0,580540669;0,336787405;0,448834951;x;x;0,448168247;0,544151144;x;x;1;0,825039181;0,618962948;0,618962948;0,367430213;0,674099819;0,388806834;x;0,557016184;0,369737285;x;x;0,734737036;0,799872689;0,618962948;0,618962948;0,504325835;0,377359669;x;x;0,408749951;0,408749951;0,408749951;x;x;0,412460125;x;0,632496819;0,677688746;0,737656512;0,688626111;-0,395916366;-0,497041467;-0,378198563;x;x;x;0,491854635;x;0,758631143;0,76011376;0,752617308;0,690495232;x;-0,385594346;-0,540166342;-0,377835569;x;x;0,491854635;x;0,758631143;0,76011376;0,752617308;0,690495232;x;-0,385594346;-0,540166342;-0,377835569;-0,484169192;0,356834018;-0,479710912;0,8083195;x
IC410.5;0,704579671;0,720196358;0,70115451;0,340043686;0,495381899;x;x;0,781889129;0,699126009;0,599437474;0,586487629;0,483804073;0,39074272;x;0,457875999;0,388477816;0,459023171;x;x;0,825039181;1;0,634195754;0,634195754;x;0,519188457;0,508919606;0,451150945;0,563538912;x;x;x;0,718575144;0,717378754;0,634195754;0,634195754;0,558801548;x;x;x;0,384617584;0,384617584;0,384617584;x;x;0,523968007;x;0,599675545;0,777460838;0,805630916;0,578685893;-0,450477935;-0,581610047;-0,4963868;-0,404559946;x;x;0,594654656;x;0,664577247;0,823674238;0,813439992;0,593035743;-0,382497071;-0,478343678;-0,61455364;-0,471432458;x;x;0,594654656;x;0,664577247;0,823674238;0,813439992;0,593035743;-0,382497071;-0,478343678;-0,61455364;-0,471432458;-0,59193051;x;-0,588134653;0,719544124;x
IC410.75;0,481121058;0,590010806;0,391580624;0,435373915;0,452993883;0,456104316;0,50064798;0,717321434;0,745800125;0,982817879;0,976132946;x;x;x;x;x;0,537639236;0,508575228;0,4802416;0,618962948;0,634195754;1;1;x;0,379203482;x;x;0,556425612;0,440132572;0,479157849;0,380003916;0,864913606;0,836625998;1;1;x;x;x;x;x;x;x;x;x;x;0,49474912;0,71097436;0,589071444;0,544680209;0,798523721;-0,42081618;-0,494846408;x;x;x;x;0,479830749;0,560103719;0,716976449;0,613883324;0,687370942;0,906272376;-0,354163967;-0,380329872;-0,459468005;-0,410384564;x;x;0,479830749;0,560103719;0,716976449;0,613883324;0,687370942;0,906272376;-0,354163967;-0,380329872;-0,459468005;-0,410384564;-0,425400691;0,33687578;-0,418968668;0,626792173;x
IC411;0,481121058;0,590010806;0,391580624;0,435373915;0,452993883;0,456104316;0,50064798;0,717321434;0,745800125;0,982817879;0,976132946;x;x;x;x;x;0,537639236;0,508575228;0,4802416;0,618962948;0,634195754;1;1;x;0,379203482;x;x;0,556425612;0,440132572;0,479157849;0,380003916;0,864913606;0,836625998;1;1;x;x;x;x;x;x;x;x;x;x;0,49474912;0,71097436;0,589071444;0,544680209;0,798523721;-0,42081618;-0,494846408;x;x;x;x;0,479830749;0,560103719;0,716976449;0,613883324;0,687370942;0,906272376;-0,354163967;-0,380329872;-0,459468005;-0,410384564;x;x;0,479830749;0,560103719;0,716976449;0,613883324;0,687370942;0,906272376;-0,354163967;-0,380329872;-0,459468005;-0,410384564;-0,425400691;0,33687578;-0,418968668;0,626792173;x
IC420.25;0,459501716;0,474964337;0,418009925;0,424453993;0,555414091;x;x;x;x;x;x;0,417666075;0,517388022;x;x;0,54192969;0,372429503;x;x;0,367430213;x;x;x;1;0,671452732;x;x;0,607795889;x;x;x;x;x;x;x;0,792299985;0,784984107;x;x;x;x;x;x;0,471634084;x;x;0,466117027;0,448707382;0,441418624;0,382488977;x;x;x;x;x;0,482153285;x;x;0,468589164;0,453325883;x;x;x;x;x;x;x;0,482153285;x;x;0,468589164;0,453325883;x;x;x;x;x;x;x;0,407795889;x;0,515911013;x
IC420.5;0,569885146;0,655360472;0,648733176;0,382473243;0,823031818;x;x;0,422032652;0,510312718;0,406576398;0,377734633;0,44568178;0,556561315;x;x;0,469608387;0,651318664;x;x;0,674099819;0,519188457;0,379203482;0,379203482;0,671452732;1;x;x;0,574379488;0,525056596;x;x;0,398733815;0,481608682;0,379203482;0,379203482;0,691412921;0,609931581;x;0,454373272;0,34248582;0,34248582;0,34248582;x;0,400132999;0,50535948;0,381917091;0,5971544;0,670461675;0,639614554;0,560827709;x;x;x;x;x;0,501214497;0,419486963;x;0,701869511;0,723276136;0,556077254;0,483100687;x;x;x;x;x;0,501214497;0,419486963;x;0,701869511;0,723276136;0,556077254;0,483100687;x;x;x;x;x;0,494557424;x;0,715561708;x
IC420.75;0,409910982;0,386029771;0,383246229;x;x;0,401322462;0,3386045;0,604170035;0,467955042;x;x;x;x;0,517940474;0,627456255;x;x;x;x;0,388806834;0,508919606;x;x;x;x;1;0,905739053;x;x;0,337964492;0,342489833;x;0,381142097;x;x;0,388713393;x;0,491942372;0,633284152;0,341835462;0,341835462;0,341835462;x;x;x;x;x;0,38519782;0,472467207;0,395193484;x;x;-0,399739074;-0,458522083;x;x;0,336279913;x;0,37054292;0,505671205;0,539604041;0,387775251;x;x;-0,419253265;-0,465256581;x;x;0,336279913;x;0,37054292;0,505671205;0,539604041;0,387775251;x;x;-0,419253265;-0,465256581;-0,524890593;x;-0,526648284;0,353586883;-0,40094916
IC421;0,377606825;0,353063662;x;0,355964499;x;0,393348062;x;0,528651427;0,430661111;x;x;x;x;0,572637036;0,641486811;x;x;x;x;x;0,451150945;x;x;x;x;0,905739053;1;x;x;x;0,36515668;0,336925095;0,362845121;x;x;x;x;0,478916956;0,543234123;x;x;x;x;x;x;x;x;x;0,426100779;x;x;x;-0,460305011;-0,507142528;x;x;x;x;x;0,374188164;0,403818006;x;x;-0,33515037;-0,476043141;-0,513702815;x;x;x;x;x;0,374188164;0,403818006;x;x;-0,33515037;-0,476043141;-0,513702815;-0,542692436;x;-0,544233342;x;-0,455017133
IC600.25;0,394480626;0,413825311;0,366188096;0,431450487;0,498619229;x;x;0,420821805;0,447651954;0,551288903;0,517265858;0,43923402;0,421205553;x;x;0,656429852;0,520919102;x;x;0,557016184;0,563538912;0,556425612;0,556425612;0,607795889;0,574379488;x;x;1;0,617235926;x;x;0,619717373;0,58881959;0,556425612;0,556425612;0,640638602;0,480309587;x;x;x;x;x;x;x;x;x;0,521132136;0,460098488;0,403115179;0,356809001;x;x;x;x;x;x;x;x;0,48261384;0,448177749;0,33893037;0,466098167;x;x;x;x;x;x;x;x;0,48261384;0,448177749;0,33893037;0,466098167;x;x;x;x;x;x;x;0,465853026;x
IC600.5;x;0,365491184;x;0,435868769;0,615906941;x;x;x;0,421465953;0,430257051;0,397221745;0,534742461;0,59959024;x;x;0,61427059;0,615604015;x;x;0,369737285;x;0,440132572;0,440132572;x;0,525056596;x;x;0,617235926;1;x;x;0,442077118;0,426980908;0,440132572;0,440132572;x;0,41321389;x;x;x;x;x;x;x;0,522743781;0,537364034;0,454311684;0,382922848;x;x;x;x;x;x;x;x;0,407817664;0,444554335;0,439567782;0,364101179;x;0,400165775;x;x;x;x;x;x;0,407817664;0,444554335;0,439567782;0,364101179;x;0,400165775;x;x;x;x;x;0,506226851;x;0,394231904;x
IC600.75;x;x;x;x;x;0,521206692;0,719807707;x;x;0,44429426;0,458410263;x;x;0,543306002;x;x;x;0,967597946;0,840684406;x;x;0,479157849;0,479157849;x;x;0,337964492;x;x;x;1;0,74420613;0,342529712;x;0,479157849;0,479157849;x;x;0,591583959;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,461115058;x;x;x;0,353764098;x;x;x;x;x;x;x;0,461115058;x;x;x;0,353764098;x;x;x;x;x;x;x;x;x
IC601;x;x;x;x;x;0,571308232;0,460750425;x;x;0,35130224;0,351491783;-0,352334707;x;x;x;x;x;0,70731393;0,641646686;x;x;0,380003916;0,380003916;x;x;0,342489833;0,36515668;x;x;0,74420613;1;x;x;0,380003916;0,380003916;x;x;0,363783951;x;x;x;x;x;x;-0,378683615;x;x;x;x;x;x;x;x;x;x;x;x;0,362359771;x;x;x;x;x;x;x;x;x;x;x;0,362359771;x;x;x;x;x;x;x;x;x;x;x;x;-0,426621758
IC610.25;0,551399901;0,656962629;0,416182577;0,474282613;0,41890252;0,447258773;x;0,783330523;0,847925026;0,848309398;0,826614069;x;x;x;x;0,375962664;0,582616638;0,374792646;0,334671809;0,734737036;0,718575144;0,864913606;0,864913606;x;0,398733815;x;0,336925095;0,619717373;0,442077118;0,342529712;x;1;0,952871478;0,864913606;0,864913606;x;x;x;0,338344377;x;x;x;x;x;0,338887862;0,398374759;0,563947141;0,525155105;0,61430788;0,726229012;-0,456322583;-0,595855377;-0,418126012;-0,415407585;x;x;0,382354073;0,526229191;0,614303919;0,568748218;0,60878635;0,851512426;-0,398391444;-0,499016464;-0,523596553;-0,481878704;x;x;0,382354073;0,526229191;0,614303919;0,568748218;0,60878635;0,851512426;-0,398391444;-0,499016464;-0,523596553;-0,481878704;-0,498355681;0,420227128;-0,490586216;0,693256822;x
IC610.5;0,620829758;0,685470848;0,450677165;0,562944751;0,470474792;0,435186285;x;0,818859733;0,911976105;0,821792893;0,803119402;x;0,342503887;x;0,357715561;0,463439156;0,64531804;x;x;0,799872689;0,717378754;0,836625998;0,836625998;x;0,481608682;0,381142097;0,362845121;0,58881959;0,426980908;x;x;0,952871478;1;0,836625998;0,836625998;0,363332589;x;x;0,391393139;x;x;x;x;x;0,356134271;0,404166767;0,594121341;0,58930242;0,664146463;0,757907344;-0,439396718;-0,567881923;-0,44081793;-0,426398292;x;x;0,37462488;0,462120452;0,674191642;0,640342784;0,63603705;0,878331679;-0,375189721;-0,464517761;-0,56160362;-0,506258176;x;x;0,37462488;0,462120452;0,674191642;0,640342784;0,63603705;0,878331679;-0,375189721;-0,464517761;-0,56160362;-0,506258176;-0,519191518;0,485410158;-0,512520963;0,751384056;x
IC610.75;0,481121058;0,590010806;0,391580624;0,435373915;0,452993883;0,456104316;0,50064798;0,717321434;0,745800125;0,982817879;0,976132946;x;x;x;x;x;0,537639236;0,508575228;0,4802416;0,618962948;0,634195754;1;1;x;0,379203482;x;x;0,556425612;0,440132572;0,479157849;0,380003916;0,864913606;0,836625998;1;1;x;x;x;x;x;x;x;x;x;x;0,49474912;0,71097436;0,589071444;0,544680209;0,798523721;-0,42081618;-0,494846408;x;x;x;x;0,479830749;0,560103719;0,716976449;0,613883324;0,687370942;0,906272376;-0,354163967;-0,380329872;-0,459468005;-0,410384564;x;x;0,479830749;0,560103719;0,716976449;0,613883324;0,687370942;0,906272376;-0,354163967;-0,380329872;-0,459468005;-0,410384564;-0,425400691;0,33687578;-0,418968668;0,626792173;x
IC611;0,481121058;0,590010806;0,391580624;0,435373915;0,452993883;0,456104316;0,50064798;0,717321434;0,745800125;0,982817879;0,976132946;x;x;x;x;x;0,537639236;0,508575228;0,4802416;0,618962948;0,634195754;1;1;x;0,379203482;x;x;0,556425612;0,440132572;0,479157849;0,380003916;0,864913606;0,836625998;1;1;x;x;x;x;x;x;x;x;x;x;0,49474912;0,71097436;0,589071444;0,544680209;0,798523721;-0,42081618;-0,494846408;x;x;x;x;0,479830749;0,560103719;0,716976449;0,613883324;0,687370942;0,906272376;-0,354163967;-0,380329872;-0,459468005;-0,410384564;x;x;0,479830749;0,560103719;0,716976449;0,613883324;0,687370942;0,906272376;-0,354163967;-0,380329872;-0,459468005;-0,410384564;-0,425400691;0,33687578;-0,418968668;0,626792173;x
IC620.25;0,579557905;0,504646638;0,585340308;0,401127555;0,535062205;x;x;0,50765744;0,347507969;x;x;0,498341233;0,497847086;x;x;0,603486535;0,361124976;x;x;0,504325835;0,558801548;x;x;0,792299985;0,691412921;0,388713393;x;0,640638602;x;x;x;x;0,363332589;x;x;1;0,745540527;x;x;x;x;x;x;0,467953344;0,387434319;x;0,459526257;0,603844759;0,615970791;0,410146549;x;x;x;x;x;0,520007288;0,365843871;x;0,504809248;0,628179368;0,56779567;0,371300286;x;x;-0,340250913;x;x;0,520007288;0,365843871;x;0,504809248;0,628179368;0,56779567;0,371300286;x;x;-0,340250913;x;x;x;x;0,545954789;x
IC620.5;0,352800585;0,400330276;0,352208864;0,59388007;0,6372058;x;x;x;x;x;x;0,454207038;0,600764007;x;x;0,715264306;x;x;x;0,377359669;x;x;x;0,784984107;0,609931581;x;x;0,480309587;0,41321389;x;x;x;x;x;x;0,745540527;1;x;x;x;x;x;x;0,441829846;x;x;0,369204819;0,343267955;0,359826389;0,339680177;x;x;x;x;x;0,454423963;x;x;0,394693832;0,362206127;x;x;x;x;x;x;x;0,454423963;x;x;0,394693832;0,362206127;x;x;x;x;x;x;x;0,367886174;x;0,442784594;x
IC620.75;x;x;x;x;x;x;0,54848234;x;x;x;x;x;x;0,663730575;0,619729259;x;x;0,524913677;0,505080687;x;x;x;x;x;x;0,491942372;0,478916956;x;x;0,591583959;0,363783951;x;x;x;x;x;x;1;0,636421861;0,372959704;0,372959704;0,372959704;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
IC621;x;0,398188376;x;0,365428221;x;x;x;x;0,490996825;x;x;x;x;0,623742519;0,50197227;x;0,401063679;x;x;x;x;x;x;x;0,454373272;0,633284152;0,543234123;x;x;x;x;0,338344377;0,391393139;x;x;x;x;0,636421861;1;x;x;x;x;x;x;x;x;x;0,334568776;0,393145558;x;x;x;x;0,368768585;0,347460216;x;0,406943804;0,470932232;0,432915205;x;0,405380464;x;x;x;x;0,368768585;0,347460216;x;0,406943804;0,470932232;0,432915205;x;0,405380464;x;x;x;x;x;0,41728187;x;0,37858818;x
LT000;x;x;x;x;x;x;0,380039456;x;x;x;x;x;x;x;x;x;x;x;x;0,408749951;0,384617584;x;x;x;0,34248582;0,341835462;x;x;x;x;x;x;x;x;x;x;x;0,372959704;x;1;1;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,361958325;x;0,402224454;0,382601742;0,370334086;x;x;x;x;x;x;x;0,361958325;x;0,402224454;0,382601742;0,370334086;x;x;x;x;x;x;x;x;x;x
