i;|Xi|;|F(Xi)|;profundidad2;dirección0;prob vecinos1
2109;394;748
543;493;1192
2102;394;791
712;30;220
231;765;2913
2687;385;739
1708;432;866
1129;589;2063
76;754;2914
2065;391;746
1251;398;768
1248;504;2842
725;579;2850
2559;385;739
507;577;2851
1942;401;774
1232;541;2860
534;677;2906
994;481;1037
503;760;2919
2448;385;739
846;535;2270
1028;386;740
2367;386;740
2296;386;740
379;780;2867
3421;386;740
3418;386;740
3402;386;740
3385;386;740
3367;386;740
3349;386;740
545;813;2851
1589;495;2118
3339;386;740
2402;404;806
3335;386;740
3317;386;740
1862;397;839
3313;386;740
3295;386;740
2383;399;755
1195;588;2167
3283;386;740
2375;404;803
292;702;2855
3256;386;740
3259;386;740
3253;387;744
3247;386;740
2368;396;851
1574;613;2009
3215;386;740
3202;386;740
2351;390;797
3163;386;740
2338;430;1934
1521;389;764
3148;386;740
3124;386;740
3113;386;740
3013;386;740
1826;414;979
3103;386;740
1822;409;803
3101;386;740
3083;386;740
3084;386;740
3078;386;740
3062;386;740
3059;386;740
2273;388;742
3048;385;740
523;787;2238
373;644;2915
1331;553;2000
3004;386;740
3006;385;740
810;760;2465
3000;386;740
2999;386;740
2989;386;740
1337;496;2833
2941;386;740
2947;386;740
2945;386;740
2926;386;740
2217;538;2154
1505;463;1089
2920;386;740
2782;386;740
2904;386;740
2898;386;740
2198;443;959
2881;386;740
2185;443;959
2858;386;740
1749;441;1048
2837;385;740
517;563;2532
2163;431;867
2830;386;740
2632;386;740
796;721;2428
2810;386;740
2144;447;986
2136;446;986
2793;386;740
2786;385;740
2783;386;740
2775;386;740
2772;386;740
2771;386;740
2767;386;740
2764;386;740
2763;386;740
2752;386;740
2750;386;740
2747;386;740
2119;453;2013
2744;386;740
2743;386;740
2707;386;740
2713;386;740
2700;386;740
1413;413;852
2695;386;740
2619;386;740
2605;386;740
1117;444;881
300;655;2848
7348;386;740
7425;566;2011
7557;435;1071
7589;676;2868
1368;135;1010
164;583;2820
244;815;2934
62;840;2884
2244;109;588
148;648;2867
7403;206;2324
52;960;2938
159;797;2893
66;847;2958
60;535;2818
585;419;2041
97;1129;2966
2006;198;1181
1421;273;2315
353;500;2836
51;1187;2992
185;870;2919
312;454;2863
168;645;2843
354;236;808
108;628;2868
91;559;2845
40;1414;3009
271;382;2805
119;545;2837
54;791;2852
375;474;2147
177;1470;3011
31;1435;3014
47;1286;2961
23;652;2869
74;629;2943
165;581;2844
306;693;2953
8;1407;3067
242;865;2919
412;513;2885
381;429;2867
561;440;2830
216;530;2867
107;871;2868
681;517;2876
79;621;2867
272;916;2969
39;997;2997
150;925;2929
181;425;2755
109;685;2836
2404;198;1181
24;1449;3013
19;1249;2960
7;1421;3029
348;431;2787
473;277;2799
1921;241;1071
99;771;2941
1380;317;2369
73;840;2938
85;1171;2999
189;470;2860
787;479;2830
133;943;2967
1709;321;2805
658;228;2396
293;217;838
768;499;2726
45;962;2894
471;211;1209
1632;216;2765
281;215;764
269;398;2080
2336;713;2210
206;386;2533
241;563;2853
190;902;2968
7577;536;2862
798;919;2953
211;811;2887
140;799;2921
217;517;2810
182;402;2812
236;435;2843
777;695;2891
1098;258;2803
106;864;2953
237;637;2941
1401;217;847
1409;283;2769
769;262;2518
1209;328;2807
917;414;2810
114;345;2207
2698;198;1181
1127;401;2505
1009;273;2666
1386;125;461
173;656;2845
43;1211;3002
647;456;2852
5;1352;3000
1156;455;2862
553;293;1988
170;433;2314
93;858;2981
145;1265;2993
1523;343;1208
350;561;2847
77;1049;2962
1785;276;2767
166;852;2929
489;545;2908
25;1292;2996
83;885;2910
277;653;2840
70;1120;2980
1487;316;2797
270;478;2816
871;315;2767
389;270;1993
544;255;2175
2631;28;62
672;342;2810
137;700;2930
424;464;2863
65;1068;2931
1693;207;2384
475;107;570
449;350;2798
1998;245;2375
1977;200;1184
915;255;2800
63;964;2934
1957;202;1203
1635;232;2770
508;408;2810
2499;198;1181
2497;198;1181
299;468;2825
1225;211;2330
238;456;2894
2488;198;1181
1936;199;1181
382;481;2869
355;358;2772
1090;295;2768
1222;304;2833
21;1480;3013
564;366;2767
2459;198;1181
774;513;2915
