i;|Xi|;|F(Xi)|;profundidad4;dirección2;prob vecinos0.5
2173;1629;3380
2826;1621;3375
1742;1656;3397
2166;1621;3375
2823;1620;3375
2820;1621;3375
2814;1621;3375
1736;1640;3393
1025;1654;3393
1482;1648;3385
1483;1644;3384
2152;1643;3387
2806;1622;3375
1128;1630;3396
2801;1620;3375
2795;1621;3375
1290;1652;3394
1288;1677;3398
1436;1641;3380
2498;1621;3375
2784;1621;3375
587;1673;3409
2780;1622;3375
2779;1622;3375
305;1679;3415
944;1650;3388
2129;1656;3394
683;1675;3397
42;1718;3420
1136;1689;3411
1283;1674;3402
2127;1638;3381
2093;1642;3384
1284;1672;3397
72;1689;3430
264;1686;3409
2756;1620;3375
1285;1660;3396
613;1679;3417
304;1692;3410
1282;1658;3409
4721;1622;3375
1475;1669;3410
2746;1621;3375
1715;1650;3403
734;1658;3405
2108;1620;3375
1923;1619;3375
1465;1639;3393
2742;1621;3375
2117;1621;3375
1720;1636;3380
90;1736;3421
2731;1621;3375
1457;1635;3383
2725;1621;3375
2109;1622;3375
543;1643;3394
2102;1621;3375
712;1626;3384
231;1676;3394
2687;1621;3375
1708;1641;3379
1129;1661;3408
76;1679;3407
2065;1629;3376
1251;1620;3379
1248;1642;3390
725;1655;3395
2559;1621;3375
507;1641;3388
1942;1637;3381
1232;1672;3410
534;1683;3397
994;1652;3388
503;1678;3412
2448;1621;3375
846;1653;3410
1028;1;1
2367;1;1
2296;1;1
379;1691;3395
3421;1;1
3418;1;1
3402;1;1
3385;1;1
3367;1;1
3349;1;1
545;1717;3452
1589;1640;3385
3339;1;1
2402;1459;3302
3335;1;1
3317;1;1
1862;828;3098
3313;1;1
3295;1;1
2383;1080;3109
1195;1620;3370
3283;1;1
2375;1349;3202
292;1671;3407
3256;1;1
3259;1;1
3253;1623;3338
3247;1;1
2368;1;1
1574;1644;3380
3215;1;1
3202;1;1
2351;1207;3210
3163;1;1
2338;1466;3283
1521;1082;3015
3148;1;1
3124;1;1
3113;1;1
3013;1;1
1826;1339;3250
3103;1;1
1822;1398;3267
3101;1;1
3083;1;1
3084;1;1
3078;1;1
3062;1;1
3059;1;1
2273;1;1
3048;1;1
523;1686;3411
373;1661;3396
1331;1584;3376
3004;1;1
3006;1;1
810;1561;3324
3000;1;1
2999;1;1
2989;1;1
1337;1641;3369
2941;1;1
2947;1;1
2945;1;1
2926;1;1
2217;1638;3378
1505;1512;3294
2920;1;1
2782;1;1
2904;1;1
2898;1;1
2198;1509;3280
2881;1;1
2185;1508;3280
2858;1;1
1749;1542;3306
2837;1;1
517;1639;3363
2163;1439;3261
2830;1;1
2632;1;1
796;1649;3379
2810;1;1
2144;1558;3303
2136;1558;3303
2793;1;1
2786;1;1
2783;1;1
2775;1;1
2772;1;1
2771;1;1
2767;1;1
2764;1;1
2763;1;1
2752;1;1
2750;1;1
2747;1;1
2119;1613;3354
2744;1;1
2743;1;1
2707;1;1
2713;1;1
2700;1;1
1413;1434;3280
2695;1;1
2619;1;1
2605;1;1
1117;1331;3185
300;1655;3385
7348;1;1
7425;1;1
7557;1;1
7589;1485;3316
1368;1676;3389
164;1697;3394
244;1700;3429
62;1725;3415
2244;1689;3389
148;1692;3404
7403;1693;3392
52;1719;3405
159;1712;3404
66;1738;3422
60;1706;3395
585;1695;3400
97;1721;3420
2006;1676;3390
1421;1693;3419
353;1670;3390
51;1700;3403
185;1733;3406
312;1671;3401
